SKU,UPC,Discontinue,Status,Inventory,SKU1,Discontinue1,Status1,SKU2,Discontinue2,Status2,SKU3,Discontinue3,Status3,SKU4,Discontinue4,Status4,SKU5,Discontinue5,Status5
"SS-SBN11-SW","799665811297","Continue","Active","21","SS-SBN11","Continue","Active","BN-SBN11VET1206","Continue","Inactive","SS-SBN11-RU","Continue","Active","DS-EMBS20141","Continue","Active","SS-SBN11-RU","Continue","Active"
"PTFFLK-C7-SW","799665815493","Continue","Active","405","PTFFLK-C7","Continue","Active","PTFFLK-C7","Continue","Active","","","","","","","","",""
"PTSCH-13400-SW","799665833503","Continue","Active","5","PTSCH-13400","Discontinue","Active","PTSCH-13400","Discontinue","Active","","","","","","","","",""
"DS-SSL28-SW","799665816780","Continue","Active","170","DS-SSL28","Continue","Active","DS-SSL28","Continue","Active","","","","","","","","",""
"JQCH-HANB9-SW","799418013220","Continue","Inactive","0","JQCH-HANB9","Discontinue","Inactive","","","","","","","","","","","",""
"PDCH-KBS5-SW","799665814755","Continue","Active","880","PDCH-KBS5","Continue","Active","PDCH-KBS5-GRBO","Continue","Active","PDCH-KBS5","Continue","Active","","","","","",""
"PDCH-KBS9-SW","799665814830","Continue","Active","329","PDCH-KBS9","Continue","Active","PDCH-KBS9-GRBO","Continue","Active","PDCH-KBS9BO","Continue","Inactive","PDCH-KBS9BO-FP","Continue","Inactive","PDCH-KBS9","Continue","Active"
"PDCH-KBS7-SW","799665814793","Continue","Active","124","PDCH-KBS7","Continue","Active","PDCH-KBS7-GRBO","Continue","Active","PDCH-KBS7BO","Continue","Inactive","PDCH-KBS7BO-FP","Continue","Inactive","PDCH-KBS7","Continue","Active"
"PDCH-KBS11-SW","799665814519","Continue","Active","400","PDCH-KBS11","Continue","Active","PDCH-KBS11-GRBO","Continue","Active","PDCH-KBS11BO","Continue","Inactive","PDCH-KBS11BO-FP","Continue","Inactive","PDCH-KBS11","Continue","Active"
"PDCH-KBS15-SW","799665814618","Continue","Inactive","281","PDCH-KBS15","Discontinue","Inactive","","","","","","","","","","","",""
"PTCH-JTSP202-SW","799665823917","Continue","Active","206","PTCH-JTSP202","Continue","Active","PTCH-202-RU","Discontinue","Inactive","PTCH-JTSP202","Continue","Active","","","","","",""
"PTCH-JTSP203-SW","799665823993","Continue","Active","244","PTCH-JTSP203","Continue","Active","PTCH-203-RU","Discontinue","Inactive","PTCH-JTSP203","Continue","Active","","","","","",""
"PTCH-JTSP204-SW","799665824075","Continue","Active","241","PTCH-JTSP204","Discontinue","Active","PTCH-204-RU","Discontinue","Inactive","","","","","","","","",""
"PTCH-JTSP206-SW","799665824235","Continue","Active","245","PTCH-JTSP206","Continue","Active","PTCH-206-RU","Discontinue","Active","PTCH-BO206","Continue","Active","PTCH-BO206-GR","Continue","Active","PTCH-JTSP206","Continue","Active"
"PTCH-JTSP207-SW","799665824310","Continue","Active","77","PTCH-JTSP207","Discontinue","Active","PTCH-207-RU","Discontinue","Active","PTCH-JTSP207","Discontinue","Active","PTCH-207-RU","Discontinue","Active","","",""
"PTCH-JTSP208-SW","799665824396","Continue","Active","266","PTCH-JTSP208","Discontinue","Inactive","PTCH-208-RU","Discontinue","Inactive","","","","","","","","",""
"PTCH-JTSP104-SW","799665824556","Continue","Active","480","PTCH-JTSP104","Discontinue","Active","PTCH-104-RU","Discontinue","Active","PTCH-BO104","Discontinue","Inactive","PTCH-JTSP104","Discontinue","Active","PTCH-104-RU","Discontinue","Active"
"PTCH-JTSP001-SW","799665824631","Continue","Active","648","PTCH-JTSP001","Continue","Active","PTCH-001-RU","Discontinue","Active","PTCH-JTSP001","Continue","Active","PTCH-001-RU","Discontinue","Active","","",""
"PTCH-JTSP130907-SW","799665813031","Continue","Active","160","PTCH-JTSP130907","Continue","Active","PTCH-130907-RU","Continue","Active","PTCH-BO130907","Continue","Active","PTCH-BO130907-GR","Continue","Active","PTCH-130907-RU","Continue","Active"
"PTCH-JTSP120-SW","799665813017","Continue","Active","367","PTCH-JTSP120","Continue","Active","PTCH-120-RU","Continue","Active","PTCH-BO120","Continue","Active","BN-P120B12010","Discontinue","Inactive","BN-P120BSS63","Discontinue","Inactive"
"PTCH-JTSP100-SW","799665812836","Continue","Active","220","PTCH-JTSP100","Continue","Active","PTCH-100-RU","Discontinue","Active","PTCH-JTSP100","Continue","Active","PTCH-100-RU","Discontinue","Active","","",""
"PTCH-JTSP41-SW","799665813239","Continue","Active","286","PTCH-JTSP41","Continue","Active","PTCH-41-RU","Continue","Active","PTCH-BO41","Continue","Active","PTCH-41-RU","Continue","Active","PTCH-JTSP41","Continue","Active"
"PTCH-JTSP003-SW","799665812799","Continue","Active","557","PTCH-JTSP003","Continue","Active","PTCH-003-RU","Discontinue","Active","PTCH-BO003","Continue","Active","PTCH-JTSP003","Continue","Active","PTCH-003-RU","Discontinue","Active"
"PTCH-JTSP27-SW","799665813192","Continue","Active","183","PTCH-JTSP27","Continue","Active","PTCH-27-RU","Continue","Active","PTCH-BO27","Continue","Active","PTCH-BO27-GR","Continue","Active","PTCH-27-RU","Continue","Active"
"JQCH-HANB10-SW","799418013299","Continue","Inactive","0","JQCH-HANB10","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB12A-SW","799418013435","Continue","Inactive","0","JQCH-HANB12A","Discontinue","Active","","","","","","","","","","","",""
"JQCH-HANB13B-SW","799418013640","Continue","Inactive","7","JQCH-HANB13B","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB13C-SW","799418013718","Continue","Active","164","JQCH-HANB13C","Continue","Active","JQCH-HANB13C","Continue","Active","","","","","","","","",""
"EFSCH-PLK850C2-SW","799418014166","Continue","Inactive","116","EFSCH-PLK850C2","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB1A-SW","799418012384","Continue","Inactive","0","JQCH-HANB1A","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB1B-SW","799418012452","Continue","Inactive","0","JQCH-HANB1B","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB3A-SW","799418012599","Continue","Active","0","JQCH-HANB3A","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB3B-SW","799418012667","Continue","Active","3","JQCH-HANB3B","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB5A-SW","799418012803","Continue","Inactive","10","JQCH-HANB5A","Discontinue","Inactive","","","","","","","","","","","",""
"JQCH-HANB5B-SW","799418012872","Continue","Active","175","JQCH-HANB5B","Continue","Active","","","","","","","","","","","",""
"JQCH-HANB6-SW","799418013015","Continue","Active","310","JQCH-HANB6","Continue","Active","","","","","","","","","","","",""
"JQCH-HANB7-SW","799418013084","Continue","Active","303","JQCH-HANB7","Continue","Active","JQCH-HANB7","Continue","Active","","","","","","","","",""
