CHILD SKU,PARENT SKU,CHILD STATUS,PARENT STATUS,ADMIN STATUS,NAME,UPC,INVENTORY,DISCONTINUE,SAFETY LOCK,HEMMING,HEADER,SIZE,SWATCH,READY MADE,MADE TO ORDER,CUSTOM,PRICE,SALE PRICE,BASE CUSTOM PRICE,FABRIC CATEGORY,FABRIC SKU,IMAGE MAIN,IMAGE 1,IMAGE 2,IMAGE 3,IMAGE 4,IMAGE 5,COUNTRY,CATEGORY 1,SUB-CATEGORY 1.1,SUB-CATEGORY 1.2,CATEGORY 2,SUB-CATEGORY 2.1,SUB-CATEGORY 2.2,CHANNEL INVENTORY,OSTK,OSTK_REP,BELLACOR,WAYFAIR,LNT,HOUZZ,ATG,KOHLS,AMAZON
"EFSCH-Alexandria-Merlot","EFSCH-Alexandria-Merlot","","Active","Active","Alexandria Merlot Faux Taffeta Silk Curtain","","0","No","0","No","Pole Pocket/Rod Pocket","","","N","N","N","189.00","79.00","0.00","","",,,,,,,"","Faux Silk Curtains","Embroidered & Patterned Faux Silk Curtains","","","","","0","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"PTCH-JTSP130907-108","PTCH-JTSP130907","Active","Active","Active","Antique Beige Faux Silk Taffeta Curtain","","0","No","10","No","50Wx108L Pole Pocket","(Ready Made)","","N","N","N","159.00","94.00","0.00","","",,,,,,,"","Custom Curtains","Solid Faux Silk Taffeta Curtains","","","","","0","YES","YES","YES","YES","YES","NO","NO","NO","NO"
"PTCH-JTSP130907-120","PTCH-JTSP130907","Active","Active","Active","Antique Beige Faux Silk Taffeta Curtain","","0","No","10","No","50Wx120L Pole Pocket","(Ready Made)(+$10)","","N","N","N","159.00","10.00","10.00","","",,,,,,,"","Custom Curtains","Solid Faux Silk Taffeta Curtains","","","","","0","YES","YES","YES","YES","YES","NO","NO","NO","NO"
"Test SKu","Test SKu","","Active","Active","2-1 Zuma Faux Silk Taffeta Stripe Curtain","","99","No","0","No","","","","N","N","N","169.00","79.00","0.00","","",https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_1.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_2.jpg,,,,"","","","","","","","0","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"PTSCH-11100-Custom","PTSCH-11100","Active","Active","Active","Milazzo Faux Silk Taffeta Stripe Curtain","","0","No","10","No","","Custom Size","","N","Y","Y","190.00","189.00","0.00","","",https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_1.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_2.jpg,,,,"","","63inch Pattern Faux Silk Curtains","","","63inch Pattern Faux Silk Curtains","","0","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"PTSCH-11100-84","PTSCH-11100","Active","Active","Active","Milazzo Faux Silk Taffeta Stripe Curtain","797734451863","0","No","10","No","","50WX84L Pole Pocket","","N","Y","Y","190.00","189.00","0.00","","",https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_1.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_2.jpg,,,,"","","63inch Pattern Faux Silk Curtains","","","63inch Pattern Faux Silk Curtains","","0","YES","YES","YES","YES","YES","NO","NO","NO","YES"
"PTSCH-11100-96","PTSCH-11100","Active","Active","Active","Milazzo Faux Silk Taffeta Stripe Curtain","797734451870","109","No","10","No","","50WX96L Pole Pocket","","N","Y","Y","190.00","10.00","10.00","","",https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_1.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_2.jpg,,,,"","","63inch Pattern Faux Silk Curtains","","","63inch Pattern Faux Silk Curtains","","0","YES","YES","YES","YES","YES","NO","NO","NO","YES"
"PTSCH-11100-108","PTSCH-11100","Active","Active","Active","Milazzo Faux Silk Taffeta Stripe Curtain","797734451887","0","No","10","No","","50WX108L Pole Pocket","","N","Y","Y","190.00","20.00","20.00","","",https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_1.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_2.jpg,,,,"","","63inch Pattern Faux Silk Curtains","","","63inch Pattern Faux Silk Curtains","","0","YES","YES","YES","YES","YES","NO","NO","NO","YES"
"PTSCH-11100-120","PTSCH-11100","Active","Active","Active","Milazzo Faux Silk Taffeta Stripe Curtain","797734451894","0","No","10","No","","50WX120L Pole Pocket","","N","Y","Y","190.00","30.00","30.00","","",https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_1.jpg,https://www.halfpricedrapes.com/resources/halfpricedraps/product/large/PDCH-KBS9-120_15867_2.jpg,,,,"","","63inch Pattern Faux Silk Curtains","","","63inch Pattern Faux Silk Curtains","","0","YES","YES","YES","YES","YES","NO","NO","NO","YES"
"PTSCH-11100-SWATCH","PTSCH-11100-SWATCH","","inactive","inactive","Milazzo Faux Silk Taffeta Stripe Swatch","","0","No","0","No","","","","N","N","N","0.99","0.99","0.00","","",,,,,,,"","","63inch Pattern Faux Silk Curtains","","","63inch Pattern Faux Silk Curtains","","0","NO","NO","NO","NO","NO","NO","NO","NO","NO"
