Fabric Code,Name,Safety Lock,Min Alert Qty,Delivery Days,Per Yard Retail Price,Discontinue,Active,Vendor,UPC,MinWidth,MaxWidth,MinLength,MaxLength
birva,"test2","0","56","0","0.0000","No","No","Star","785963214752","1","2","3","4",""
DS-EMBS20131-FB,"Carliyle Pearl White Thai Silk Fabric","0","50","3","0.0000","No","Yes","Sierra","","1","0","0","0",""
DS-EMBS201310-FB,"Chai Brown Gold Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201311-FB,"Rowena Gold Dust Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201312-FB,"Toulon Sea Blue Silk Fabric","1","50","0","23.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201313-FB,"Cayenne Jamawar Silk Fabric","1","50","0","26.0000","No","No","Sierra","","0","0","0","0",""
DS-EMBS201314-FB,"Taj Mahal Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201315-FB,"Mirror Pearl White Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201316-FB,"Bellagio Silver Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201317-FB,"Merlot Jamawar Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201319-FB,"Trophy Bold Red Silk Fabric","6","9","10","15.5300","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201319-FB45,"test","1","0","0","0.0000","No","No","Star","","0","0","0","0",""
DS-EMBS20132-FB,"Trophy Sea Blue Thai Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201320-FB,"Borrache Silk Fabric","8","6","15","7.5900","No","Yes","Sierra","785214639872","0","0","0","0",""
DS-EMBS201321-FB,"Dahlia Silk Fabric","5","0","0","0.0000","No","Yes","Star","","0","0","0","0",""
DS-EMBS201322-FB,"Olivia Silk Fabric","0","0","0","0.0000","No","Yes","Star","","0","0","0","0",""
DS-EMBS201323-FB,"Rubia Silk Fabric","0","0","0","0.0000","No","Yes","Star","","0","0","0","0",""
DS-EMBS201324-FB,"Sterling Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS201327-FB,"test","0","50","2","12.0000","No","Yes","Star","","0","0","0","0",""
DS-EMBS20133-FB,"Cassandra Sage Green Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS20134-FB,"Baldwin Merlot Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS20135-FB,"Indria Pearl White Silk Fabric","0","89","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS20136-FB,"Istanbul Cayenne Silk Fabric","0","0","0","0.0000","No","Yes","Star","","0","0","0","0",""
DS-EMBS20137-FB,"Chai Silver Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS20138-FB,"Bombay Bold Red Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS20140-FB,"Bombay Bold Red Silk Fabric1","2","2","2","2.0000","No","Yes","Sierra","","0","0","0","0",""
DS-EMBS20141-FB,"Bombay Bold Red Silk Fabric2","3","3","3","3.0000","No","Yes","Sierra","1234567896","0","0","0","0",""
DS-SSS-DDDDD,"Bombay Bold Red Silk Fabric2","3","1","3","3.0000","No","Yes","Sierra","546456","2","3","4","3",""
DS-SSS_DDDD,"Bombay Bold Red Silk Fabric2","3","1","3","3.0000","No","Yes","Sierra","55456","2","3","4","3",""
sdfdfdfg,"sdfddfg","11","1","12","10.0000","No","Yes","Sierra","5356","2","3","4","5",""
sdfsf,"sdgdfg","11","1","12","2.0000","No","No","Sierra","","0","0","0","0",""
sfsfds,"sdfdf","13","1","14","12.0000","No","Yes","Sierra","543546","2","3","4","3",""

