Fabric Code,Name,Qty On Hand / Order,Qty on Order 1,Prod. Date 1,Qty on Order 2,Prod. Date 2,Qty on Order 3,Prod. Date 3
SS-SBR13-FB,"Bold Red Thai Silk Fabric","50","100","07/06/2015","200","07/06/2015","300","07/20/2015"
SS-SBN11-FB,"Brown Gold Thai Silk Fabric","192","165","09/24/2014","0","","0",""
SS-SCY22-FB,"Cayenne Thai Silk Fabric","226","0","","0","","0",""
SS-SCB01-FB,"Chocolate Brown Thai Silk Fabric","268","0","","0","","0",""
SS-SGD21-FB,"Gold Dust Thai Silk Fabric","121","0","","80","09/25/2014","0",""
SS-SMR04-FB,"Merlot Thai Silk Fabric","199","0","","80","09/10/2014","0",""
SS-SMB19-FB,"Midnight Black Thai Silk Fabric","65","0","","0","","0",""
SS-SPW28-FB,"Pearl White Thai Silk Fabric","321","0","","165","10/15/2014","0",""
SS-SG05-FB,"Sage Green Thai Silk Fabric","79","0","","85","09/17/2014","0",""
SS-SSB02-FB,"Sea Blue Thai Silk Fabric","68","0","","85","09/17/2014","0",""
SS-SG17-FB,"Silver Grey Thai Silk Fabric","189","50","09/15/2014","85","09/10/2014","0",""
SS-STG16-FB,"Taupe Gold Thai Silk Fabric","210","28","09/25/2014","0","","0",""
DS-MSTK1-FB,"Blue Water Silk Fabric","38","42","09/10/2014","0","","50","07/06/2015"

