SKU,Price,BASE CUSTOM PRICE
"EFSCH-20134E1-108","129.0000","129.0000"
"BN-SBN11VET1206-108","199.0000","199.0000"
"BN-SBN11VET1206-120","209.0000","209.0000"
"BN-SBN11VET1206-84","169.0000","169.0000"
"BN-SBN11VET1206-96","189.0000","189.0000"
"BN-SCY22VET1206-108","199.0000","199.0000"
"BN-SCY22VET1206-120","209.0000","209.0000"
"BN-SCY22VET1206-84","169.0000","169.0000"
"BN-SCY22VET1206-96","189.0000","189.0000"
"BN-SG17VET1206-108","199.0000","199.0000"
"BN-SG17VET1206-120","209.0000","209.0000"
"BN-SG17VET1206-84","169.0000","125.0000"
"BN-SG17VET1206-96","120.0000","124.0000"
"BN-SMB19VET1206-108","199.0000","199.0000"
"BN-SMB19VET1206-120","209.0000","209.0000"
"BN-SMB19VET1206-84","169.0000","169.0000"
"BN-SMB19VET1206-96","189.0000","189.0000"
"BN-SMR04VET1206-108","199.0000","199.0000"
"BN-SMR04VET1206-120","209.0000","209.0000"
"BN-SMR04VET1206-84","169.0000","169.0000"
"BN-SMR04VET1206-96","189.0000","189.0000"
"BN-SPW28VET1206-108","199.0000","199.0000"
"BN-SPW28VET1206-120","209.0000","209.0000"
"BN-SPW28VET1206-84","169.0000","169.0000"
"BN-SPW28VET1206-96","189.0000","189.0000"
"BN-STG16VET1206-108","199.0000","199.0000"
"BN-STG16VET1206-120","209.0000","209.0000"
"BN-STG16VET1206-84","169.0000","169.0000"
"BN-STG16VET1206-96","189.0000","189.0000"
"BOCH-120601-108","39.0000","39.0000"
"BOCH-120601-108-GR","39.0000","39.0000"
"BOCH-120601-120","44.0000","44.0000"
"BOCH-120601-120-GR","44.0000","44.0000"
"BOCH-120601-84","29.0000","29.0000"
"BOCH-120601-84-GR","29.0000","29.0000"
"BOCH-120601-96","34.0000","34.0000"
"BOCH-120601-96-GR","34.0000","34.0000"
"BOCH-131009-108","39.0000","39.0000"
"BOCH-131009-108-GR","39.0000","39.0000"
"BOCH-131009-120","44.0000","44.0000"
"BOCH-131009-120-GR","44.0000","44.0000"
"BOCH-131009-84","29.0000","29.0000"
"BOCH-131009-84-GR","29.0000","29.0000"
"BOCH-131009-96","34.0000","34.0000"
"BOCH-131009-96-GR","34.0000","34.0000"
"BOCH-174402-108","39.0000","39.0000"
"BOCH-174402-120","44.0000","44.0000"
"BOCH-174402-120-GR","44.0000","44.0000"
"BOCH-174402-84","29.0000","29.0000"
"BOCH-174402-84-GR","29.0000","29.0000"
"BOCH-174402-96","34.0000","34.0000"
"BOCH-174402-96-GR","34.0000","34.0000"
"BOCH-174402-96-GR","39.0000","39.0000"
