SKU,UPC,Inventory On Hand, Livermore,Atlanta,Safety Lock Qty,Avilable For Channel Sales,Avilable For HPD Website,Hemming Allowed
DS-EFCH14-1,"","-38","","","0","0","0","N"
DS-EFCH14-84,"799665818692","0","0","0","0","0","0","N"
DS-EFCH14-96,"799665818708","0","0","0","0","0","0","N"
DS-EFCH14-108,"799665818722","0","0","0","0","0","0","N"
DS-EFCH14-120,"799665818715","0","0","0","0","0","0","N"
DS-EFCH14-CUS,"799665818739","0","0","0","0","0","0","N"
DS-EMBS201324,"","-1","","","0","0","0","N"
DS-EMBS201324-96,"799665822682","0","0","0","0","0","0","N"
DS-EMBS201324-108,"799665822705","0","0","0","0","0","0","N"
DS-EMBS201324-CUS,"799665822712","0","0","0","0","0","0","N"
DS-EMBS201323,"","-1","","","0","0","0","N"
DS-EMBS201323-84,"799665822590","0","0","0","0","0","0","N"
DS-EMBS201323-96,"799665822606","0","0","0","0","0","0","N"
DS-EMBS201323-108,"799665822620","0","0","0","0","0","0","N"
DS-EMBS201323-120,"799665822613","0","0","0","0","0","0","N"
DS-EMBS201323-CUS,"799665822637","0","0","0","0","0","0","N"
DS-EMBS20137,"","0","","","0","0","0","N"
DS-EMBS20137-84,"799665821319","0","0","0","0","0","0","N"
DS-EMBS20137-96,"799665821326","0","0","0","0","0","0","N"
DS-EMBS20137-108,"799665821340","0","0","0","0","0","0","N"
DS-EMBS20137-120,"799665821333","0","0","0","0","0","0","N"
DS-EMBS20137-CUS,"799665821357","0","0","0","0","0","0","N"
EFSCH-AL450C4,"","125","","","0","0","0","N"
EFSCH-AL450C4-84,"799418014401","0","0","0","10","0","0","N"
EFSCH-AL450C4-96,"799418014418","47","47","0","50","0","47","N"
EFSCH-AL450C4-108,"799418014425","78","78","0","50","28","78","N"
EFSCH-AL450C4-120,"799418014432","0","0","0","20","0","0","N"
EFSCH-AL450C4-CUS,"799418014456","0","0","0","0","0","0","N"
EFSCH-AL450C4-SW,"799418014449","119","119","0","0","119","119","N"
EFSCH-AL450C2,"","186","","","0","0","0","N"
EFSCH-AL450C2-84,"799418014470","0","0","0","5","0","0","N"
EFSCH-AL450C2-96,"799418014487","62","62","0","5","57","62","N"
EFSCH-AL450C2-108,"799418014494","82","82","0","5","77","82","N"
EFSCH-AL450C2-120,"799418014500","42","42","0","5","37","42","N"
EFSCH-AL450C2-CUS,"799418014524","0","0","0","0","0","0","N"
EFSCH-AL450C3,"","329","","","0","0","0","N"
EFSCH-AL450C3-84,"799418014548","0","0","0","5","0","0","N"
EFSCH-AL450C3-96,"799418014555","122","122","0","5","117","122","N"
EFSCH-AL450C3-108,"799418014562","150","150","0","5","145","150","N"
EFSCH-AL450C3-120,"799418014579","57","57","0","5","52","57","N"
EFSCH-AL450C3-CUS,"799418014593","0","0","0","0","0","0","N"
PTSCH-11091,"","0","","","0","0","0","Y"
PTSCH-11091-84,"610395223467","0","0","0","5","0","0","N"
PTSCH-11091-96,"610395223474","0","0","0","10","0","0","N"
PTSCH-11091-108,"610395223481","0","0","0","10","0","0","N"
PTSCH-11091-120,"610395223498","0","0","0","10","0","0","N"
PTSCH-11091-CUS,"799665815721","0","0","0","0","0","0","N"
PTSCH-11091-SW,"799665815738","97","97","0","5","92","92","Y"
JQCH-201301,"","32","","","0","0","0","N"
JQCH-201301-84,"799665822835","0","0","0","10","0","0","N"
JQCH-201301-96,"799665822842","32","0","32","5","27","32","N"
JQCH-201301-108,"799665822866","0","0","0","5","0","0","N"
JQCH-201301-120,"799665822859","0","0","0","5","0","0","N"
JQCH-201301-CUS,"799665822873","0","0","0","0","0","0","N"
JQCH-201301-SW,"799665822897","34","34","0","5","29","34","N"
JQCH-201301-FP,"","63","","","0","0","0","N"
JQCH-201301-FP-84,"799665816377","43","0","43","5","38","43","N"
JQCH-201301-FP-96,"799665816384","0","0","0","5","0","0","N"
JQCH-201301-FP-108,"799665816391","0","0","0","5","0","0","N"
JQCH-201301-FP-120,"799665816407","21","0","21","5","16","21","N"
JQCH-201263,"","54","","","0","0","0","Y"
JQCH-201263-84,"610395226932","0","0","0","5","46","46","N"
JQCH-201263-96,"610395226949","0","0","0","5","46","46","N"
JQCH-201263-108,"610395226956","38","0","38","5","51","51","N"
JQCH-201263-120,"610395226963","23","23","0","5","18","18","N"
JQCH-201263-CUS,"799665816001","0","0","0","0","0","0","N"
JQCH-201263-SW,"799665816018","30","30","0","0","30","30","N"
JQCH-201263-FP,"","76","","","0","0","0","Y"
JQCH-201263-FP-84,"610395232773","0","0","0","5","61","61","N"
JQCH-201263-FP-96,"610395232780","53","0","53","5","66","66","N"
JQCH-201263-FP-108,"610395232797","0","0","0","5","13","13","N"
JQCH-201263-FP-120,"610395232803","23","0","23","5","18","18","N"
JQCH-201268,"","0","","","0","0","0","Y"
JQCH-201268-84,"610395227014","0","0","0","5","0","0","N"
JQCH-201268-96,"610395227021","0","0","0","5","0","0","N"
JQCH-201268-108,"610395227038","0","0","0","5","0","0","N"
JQCH-201268-120,"610395227045","0","0","0","5","0","0","N"
JQCH-201268-CUS,"799665816049","0","0","0","0","0","0","N"
JQCH-201268-SW,"799665816056","31","31","0","0","31","31","N"
JQCH-201268-FP,"","-3","","","0","0","0","Y"
JQCH-201268-FP-84,"610395232858","0","0","0","5","0","0","N"
JQCH-201268-FP-96,"610395232865","0","0","0","5","0","0","N"
JQCH-201268-FP-108,"610395232872","0","0","0","5","0","0","N"
JQCH-201268-FP-120,"610395232889","0","0","0","5","0","0","N"
JQCH-201266,"","0","","","0","0","0","Y"
JQCH-201266-84,"610395226970","0","0","0","5","0","0","N"
JQCH-201266-96,"610395226987","0","0","0","5","0","0","N"
JQCH-201266-108,"610395226994","0","0","0","5","0","0","N"
JQCH-201266-120,"610395227007","0","0","0","5","0","0","N"
JQCH-201266-CUS,"799665816025","0","0","0","0","0","0","N"
JQCH-201266-SW,"799665816032","121","121","0","0","121","121","N"
JQCH-201266-FP,"","30","","","0","0","0","Y"
JQCH-201266-FP-84,"610395232810","30","0","30","5","25","25","N"
JQCH-201266-FP-96,"610395232827","0","0","0","5","0","0","N"
JQCH-201266-FP-108,"610395232834","0","0","0","5","0","0","N"
JQCH-201266-FP-120,"610395232841","0","0","0","5","0","0","N"
DS-EMBS20134,"","0","","","0","0","0","Y"
DS-EMBS20134-84,"799665821074","0","0","0","5","0","0","N"
DS-EMBS20134-96,"799665821081","0","0","0","5","0","0","N"
DS-EMBS20134-108,"799665821104","0","0","0","5","0","0","N"
DS-EMBS20134-120,"799665821098","0","0","0","5","0","0","N"
DS-EMBS20134-CUS,"799665821111","0","0","0","0","0","0","N"
DS-EMBS20134-SW,"799665821135","31","31","0","0","31","31","N"
BN-SBN11VET1206-SW,"799665811570","34","34","0","0","34","34","N"
BN-SCY22VET1206-SW,"799665811617","35","35","0","0","35","35","N"
BN-SMR04VET1206-SW,"799665811631","34","34","0","0","34","34","N"
BN-SMB19VET1206-SW,"799665811655","35","35","0","0","35","35","N"
BN-SPW28VET1206-SW,"799665811532","35","35","0","0","35","35","N"
BN-SG17VET1206-SW,"799665811556","35","35","0","0","35","35","N"
BN-STG16VET1206-SW,"799665811594","31","31","0","0","31","31","N"
DS-EMBS201316,"","0","","","0","0","0","Y"
DS-EMBS201316-84,"799665822033","0","0","0","5","0","0","N"
DS-EMBS201316-96,"799665822040","0","0","0","5","0","0","N"
DS-EMBS201316-108,"799665822064","0","0","0","5","0","0","N"
DS-EMBS201316-120,"799665822057","0","0","0","5","0","0","N"
DS-EMBS201316-CUS,"799665822071","0","0","0","0","0","0","N"
DS-EMBS201316-SW,"799665822095","32","32","0","0","32","32","N"
DS-TF514,"","0","","","0","0","0","Y"
DS-TF514-84,"799665818333","0","0","0","5","0","0","N"
DS-TF514-96,"799665818340","0","0","0","5","0","0","N"
DS-TF514-108,"799665818364","0","0","0","5","0","0","N"
DS-TF514-120,"799665818357","0","0","0","5","0","0","N"
DS-TF514-CUS,"799665818371","0","0","0","0","0","0","N"
DS-TF514-SW,"799665816803","33","33","0","0","33","33","N"
DS-TF940,"","0","","","0","0","0","Y"
DS-TF940-84,"799665818272","0","0","0","5","0","0","N"
DS-TF940-96,"799665818289","0","0","0","5","0","0","N"
DS-TF940-108,"799665818302","0","0","0","5","0","0","N"
DS-TF940-120,"799665818296","0","0","0","5","0","0","N"
DS-TF940-CUS,"799665818319","0","0","0","0","0","0","N"
DS-TF940-SW,"799665816865","34","34","0","0","34","34","N"
DS-SDG6,"","0","","","0","0","0","Y"
DS-SDG6-84,"799665818456","0","0","0","5","0","0","N"
DS-SDG6-96,"799665818463","0","0","0","5","0","0","N"
DS-SDG6-108,"799665818487","0","0","0","5","0","0","N"
DS-SDG6-120,"799665818470","0","0","0","5","0","0","N"
DS-SDG6-CUS,"799665818494","0","0","0","0","0","0","N"
DS-SDG6-SW,"799665816742","14","14","0","5","9","14","N"
PTSCH-13403,"","40","","","0","0","0","N"
PTSCH-13403-84,"799665833688","10","0","10","0","10","10","N"
PTSCH-13403-96,"799665833695","0","0","0","0","0","0","N"
PTSCH-13403-108,"799665833718","10","0","10","0","10","10","N"
PTSCH-13403-120,"799665833701","26","0","26","0","26","26","N"
PTSCH-13403-CUS,"799665833725","0","0","0","0","0","0","N"
PTSCH-13403-SW,"799665833749","0","140","0","0","0","0","N"
DS-TFSN30,"","0","","","0","0","0","Y"
DS-TFSN30-84,"799665818098","0","0","0","5","0","0","N"
DS-TFSN30-96,"799665818104","0","0","0","5","0","0","N"
DS-TFSN30-108,"799665818128","0","0","0","5","0","0","N"
DS-TFSN30-120,"799665818111","0","0","0","5","0","0","N"
DS-TFSN30-CUS,"799665818135","0","0","0","0","0","0","N"
DS-TFSN30-SW,"799665816940","34","34","0","0","34","34","N"
PTSCH-13404,"","320","","","0","0","0","N"
PTSCH-13404-84,"799665833763","0","0","0","0","0","0","N"
PTSCH-13404-96,"799665833770","113","0","113","0","113","113","N"
PTSCH-13404-108,"799665833794","133","0","133","0","133","133","N"
PTSCH-13404-120,"799665833787","74","0","74","0","74","74","N"
PTSCH-13404-CUS,"799665833800","0","0","0","0","0","0","N"
PTSCH-13404-SW,"799665833824","167","167","0","0","167","167","N"
DIS-ID15,"","476","","","0","0","0","Y"
DIS-ID15-84,"797734449730","123","98","25","5","456","456","N"
DIS-ID15-96,"797734449747","168","168","0","5","338","338","N"
DIS-ID15-108,"797734449754","147","147","0","5","175","175","N"
DIS-ID15-120,"797734449761","38","38","0","5","33","33","N"
DIS-ID15-CUS,"797734449112","0","0","0","0","0","0","N"
DIS-ID15-SW,"797734449129","0","0","0","0","0","0","N"
DIS-ID224,"","0","","","0","0","0","Y"
DIS-ID224-84,"797734449778","0","0","0","5","0","0","N"
DIS-ID224-96,"797734449785","0","0","0","5","0","0","N"
DIS-ID224-108,"797734449792","0","0","0","5","0","0","N"
DIS-ID224-120,"797734449808","0","0","0","5","0","0","N"
DIS-ID224-CUS,"799665810924","0","0","0","0","0","0","N"
