SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue
 	EFSCH-20134E1-108,"129.0000","129.0000","3","0.00","No"
 	JQCH-HANB4-CUS,"0.0000","0.0000","5","0.00","No"
123,"0.0000","0.0000","0","11.52","No"
2321,"0.0000","0.0000","0","11.52","No"
BN-SBN11VET1206,"169.0000","0.0000","0","6.00","No"
BN-SBN11VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-SBN11VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-SBN11VET1206-84,"169.0000","169.0000","1","6.00","No"
BN-SBN11VET1206-96,"189.0000","189.0000","2","7.00","No"
BN-SBN11VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-SBN11VET1206-SW,"1.9900","0.0000","999","0.05","No"
BN-SCY22VET1206,"169.0000","0.0000","0","6.00","No"
BN-SCY22VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-SCY22VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-SCY22VET1206-84,"169.0000","169.0000","1","6.00","No"
BN-SCY22VET1206-96,"189.0000","189.0000","2","7.00","No"
BN-SCY22VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-SCY22VET1206-SW,"1.9900","0.0000","999","0.05","No"
BN-SG17VET1206,"120.0000","0.0000","0","6.00","No"
BN-SG17VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-SG17VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-SG17VET1206-84,"169.0000","125.0000","1","6.00","No"
BN-SG17VET1206-96,"120.0000","124.0000","2","7.00","No"
BN-SG17VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-SG17VET1206-SW,"1.9900","0.0000","999","0.05","No"
BN-SMB19VET1206,"169.0000","0.0000","0","6.00","No"
BN-SMB19VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-SMB19VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-SMB19VET1206-84,"169.0000","169.0000","1","6.00","No"
BN-SMB19VET1206-96,"189.0000","189.0000","2","7.00","No"
BN-SMB19VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-SMB19VET1206-SW,"1.9900","0.0000","999","0.05","No"
BN-SMR04VET1206,"169.0000","0.0000","0","6.00","No"
BN-SMR04VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-SMR04VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-SMR04VET1206-84,"169.0000","169.0000","1","6.00","No"
BN-SMR04VET1206-96,"189.0000","189.0000","2","7.00","No"
BN-SMR04VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-SMR04VET1206-SW,"1.9900","0.0000","999","0.05","No"
BN-SPW28VET1206,"169.0000","0.0000","0","6.00","No"
BN-SPW28VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-SPW28VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-SPW28VET1206-84,"169.0000","169.0000","1","6.00","No"
BN-SPW28VET1206-96,"189.0000","189.0000","2","7.00","No"
BN-SPW28VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-SPW28VET1206-SW,"1.9900","0.0000","999","0.05","No"
BN-STG16VET1206,"169.0000","0.0000","0","6.00","No"
BN-STG16VET1206-108,"199.0000","199.0000","3","7.00","No"
BN-STG16VET1206-120,"209.0000","209.0000","4","8.00","No"
BN-STG16VET1206-84,"169.0000","169.0000","1","6.00","No"
BN-STG16VET1206-96,"189.0000","189.0000","2","7.00","No"
BN-STG16VET1206-CUS,"0.0000","0.0000","5","2.40","No"
BN-STG16VET1206-SW,"1.9900","0.0000","999","0.05","No"
BOCH-120601,"29.0000","0.0000","8","5.00","No"
BOCH-120601-108,"39.0000","39.0000","2","6.00","No"
BOCH-120601-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-120601-120,"44.0000","44.0000","2","6.00","No"
BOCH-120601-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-120601-84,"29.0000","29.0000","1","5.00","No"
BOCH-120601-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-120601-96,"34.0000","34.0000","2","5.00","No"
BOCH-120601-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-120601-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-120601-GR,"29.0000","0.0000","9","5.00","No"
BOCH-120601-SW,"0.9900","0.0000","999","0.05","No"
BOCH-131009,"29.0000","0.0000","1","5.00","No"
BOCH-131009-108,"39.0000","39.0000","2","6.00","No"
BOCH-131009-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-131009-120,"44.0000","44.0000","2","6.00","No"
BOCH-131009-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-131009-84,"29.0000","29.0000","1","5.00","No"
BOCH-131009-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-131009-96,"34.0000","34.0000","2","5.00","No"
BOCH-131009-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-131009-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-131009-GR,"29.0000","0.0000","0","5.00","No"
BOCH-131009-SW,"0.9900","0.0000","999","0.05","No"
BOCH-174402,"29.0000","0.0000","11","5.00","No"
BOCH-174402-108,"39.0000","39.0000","2","6.00","No"
BOCH-174402-120,"44.0000","44.0000","2","6.00","No"
BOCH-174402-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-174402-84,"29.0000","29.0000","1","5.00","No"
BOCH-174402-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-174402-96,"34.0000","34.0000","2","5.00","No"
BOCH-174402-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-174402-96-GR,"39.0000","39.0000","3","0.00","No"
BOCH-174402-CUS,"0.0000","0.0000","5","2.00","No"
