SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue,UPC
DS-EMBS20131,"239.0000","0.0000","8","5.00","No","799665820831"
DS-EMBS20131-108,"269.0000","269.0000","3","6.00","No","799665820862"
DS-EMBS20131-120,"279.0000","279.0000","4","6.00","No","799665820855"
DS-EMBS20131-84,"239.0000","239.0000","1","5.00","No","799665820831"
DS-EMBS20131-96,"259.0000","259.0000","2","5.00","No","799665820848"
DS-EMBS20131-SW,"1.9900","0.0000","999","0.05","No","799665820893"
DS-EMBS201310,"279.0000","0.0000","11","5.00","No","799665821555"
DS-EMBS201310-108,"309.0000","309.0000","3","6.00","No","799665821586"
DS-EMBS201310-120,"319.0000","319.0000","4","6.00","No","799665821579"
DS-EMBS201310-84,"279.0000","279.0000","1","5.00","No","799665821555"
DS-EMBS201310-96,"299.0000","299.0000","2","5.00","No","799665821562"
DS-EMBS201310-CUS,"0.0000","0.0000","5","2.40","No","799665821593"
DS-EMBS201310-SW,"1.9900","0.0000","999","0.05","No","799665821616"
DS-EMBS201311,"279.0000","0.0000","18","5.00","No","799665821630"
DS-EMBS201311-108,"309.0000","309.0000","3","6.00","No","799665821661"
DS-EMBS201311-120,"319.0000","319.0000","4","6.00","No","799665821654"
DS-EMBS201311-84,"279.0000","279.0000","1","5.00","No","799665821630"
DS-EMBS201311-96,"299.0000","299.0000","2","5.00","No","799665821647"
DS-EMBS201311-CUS,"0.0000","0.0000","5","2.40","No","799665821678"
DS-EMBS201311-SW,"1.9900","0.0000","999","0.05","No","799665821692"
DS-EMBS201312,"299.0000","0.0000","2","5.00","No","799665821715"
DS-EMBS201312-108,"329.0000","329.0000","3","6.00","No","799665821746"
DS-EMBS201312-120,"339.0000","339.0000","4","6.00","No","799665821739"
DS-EMBS201312-84,"299.0000","299.0000","1","5.00","No","799665821715"
DS-EMBS201312-96,"319.0000","319.0000","2","5.00","No","799665821722"
DS-EMBS201312-CUS,"0.0000","0.0000","5","2.40","No","799665821753"
DS-EMBS201312-SW,"1.9900","0.0000","999","0.05","No","799665821777"
DS-EMBS201313,"289.0000","0.0000","10","5.00","No","799665821791"
DS-EMBS201313-108,"319.0000","319.0000","3","6.00","No","799665821821"
