SKU,UPC,IsBuy1Get1,Startdate,Enddate
PTSCH-11093-63,"","No","",""
PTSCH1-11093-63,"","No","",""
PTCH-JTSP130907-108,"","No","",""
PTCH-JTSP130907-120,"","No","",""
PTSCH-11100-84,"797734451863","No","",""
PTSCH-11100-96,"797734451870","No","",""
PTSCH-11100-108,"797734451887","No","",""
PTSCH-11100-120,"797734451894","No","",""
PTSCH-11100-Custom,"","No","",""
PTCH-JTSP001-84,"799665824570","No","",""
PTCH-JTSP001-96,"","No","",""
PTCH-JTSP001-108,"","No","",""
PTCH-JTSP100-84,"610395224006","No","",""
PTCH-JTSP100-96,"","No","",""
PTCH-JTSP100-108,"610395223986","No","",""
PTCH-JTSP100-120,"610395223993","No","",""
PTCH-JTSP102-84,"610395224044","No","",""
PTCH-JTSP102-96,"","No","",""
PTCH-JTSP102-108,"610395224020","No","",""
PTCH-JTSP102-120,"","No","",""
PDCH-KBS10-96,"797734455977","No","11/18/2015","11/30/2015"
PDCH-KBS18-96,"797734458800","No","",""
PDCH-KBS17-84,"797734458756","No","",""
PDCH-KBS17-96,"797734458763","No","",""
PDCH-KBS17-108,"797734458770","No","",""
PDCH-KBS17-120,"797734458787","No","03/01/2016","03/28/2016"
SHCH-ORG2-84-PR,"610395231875","No","10/14/2013","10/14/2013"
SHCH-ORG2-96-PR,"610395231882","No","10/14/2013","10/14/2013"
SHCH-ORG2-108-PR,"610395231851","No","10/14/2013","10/14/2013"
SHCH-ORG2-120-PR,"610395231868","No","10/14/2013","10/14/2013"
SHCH-VOL3-84-DLSW,"799665834463","No","10/17/2013","10/17/2013"
SHCH-VOL3-96-DLSW,"799665834470","No","10/17/2013","10/17/2013"
SHCH-VOL3-108-DLSW,"799665834487","No","10/17/2013","10/17/2013"
SHCH-VOL3-120-DLSW,"799665834494","No","10/17/2013","10/17/2013"
SHCH-VOL1-84-DLSW,"799665834425","No","10/17/2013","10/17/2013"
SHCH-VOL1-96-DLSW,"799665834432","No","10/17/2013","10/17/2013"
SHCH-VOL1-108-DLSW,"799665834449","No","10/17/2013","10/17/2013"
SHCH-VOL1-120-DLSW,"799665834456","No","10/17/2013","10/17/2013"
EFSCH-AL450C4-84,"799418014401","No","10/17/2013","10/17/2013"
EFSCH-AL450C4-120,"799418014432","No","10/17/2013","10/17/2013"
EFSCH-AL450C4-96,"799418014418","No","10/17/2013","10/17/2013"
EFSCH-AL450C4-108,"799418014425","No","10/17/2013","10/17/2013"
EFSCH-AL450C2-84,"799418014470","No","10/17/2013","10/17/2013"
EFSCH-AL450C2-96,"799418014487","No","10/17/2013","10/17/2013"
EFSCH-AL450C2-108,"799418014494","No","10/17/2013","10/17/2013"
EFSCH-AL450C2-120,"799418014500","No","10/17/2013","10/17/2013"
EFSCH-AL450C3-84,"799418014548","No","10/17/2013","10/17/2013"
EFSCH-AL450C3-96,"799418014555","No","10/17/2013","10/17/2013"
EFSCH-AL450C3-108,"799418014562","No","10/17/2013","10/17/2013"
EFSCH-AL450C3-120,"799418014579","No","10/17/2013","10/17/2013"
PTSCH-11091-120,"610395223498","No","10/17/2013","10/17/2013"
PTSCH-11091-84,"610395223467","No","10/17/2013","10/17/2013"
PTSCH-11091-96,"610395223474","No","10/17/2013","10/17/2013"
PTSCH-11091-108,"610395223481","No","10/17/2013","10/17/2013"
JQCH-201301-FP-120,"799665816407","No","10/17/2013","10/17/2013"
JQCH-201301-FP-84,"799665816377","No","10/17/2013","10/17/2013"
JQCH-201301-FP-96,"799665816384","No","10/17/2013","10/17/2013"
JQCH-201301-FP-108,"799665816391","No","10/17/2013","10/17/2013"
JQCH-201263-84,"610395226932","No","10/17/2013","10/17/2013"
JQCH-201263-96,"610395226949","No","10/17/2013","10/17/2013"
JQCH-201263-108,"610395226956","No","10/17/2013","10/17/2013"
JQCH-201263-120,"610395226963","No","10/17/2013","10/17/2013"
JQCH-201263-FP-120,"610395232803","No","10/17/2013","10/17/2013"
JQCH-201263-FP-84,"610395232773","No","10/17/2013","10/17/2013"
JQCH-201263-FP-96,"610395232780","No","10/17/2013","10/17/2013"
JQCH-201263-FP-108,"610395232797","No","10/17/2013","10/17/2013"
JQCH-201268-84,"610395227014","No","10/17/2013","10/17/2013"
JQCH-201268-96,"610395227021","No","10/17/2013","10/17/2013"
JQCH-201268-108,"610395227038","No","10/17/2013","10/17/2013"
JQCH-201268-120,"610395227045","No","10/17/2013","10/17/2013"
JQCH-201268-FP-108,"610395232872","No","10/17/2013","10/17/2013"
JQCH-201268-FP-120,"610395232889","No","10/17/2013","10/17/2013"
JQCH-201268-FP-84,"610395232858","No","10/17/2013","10/17/2013"
JQCH-201268-FP-96,"610395232865","No","10/17/2013","10/17/2013"
JQCH-201266-84,"610395226970","No","10/17/2013","10/17/2013"
JQCH-201266-96,"610395226987","No","10/17/2013","10/17/2013"
JQCH-201266-108,"610395226994","No","10/17/2013","10/17/2013"
JQCH-201266-120,"610395227007","No","10/17/2013","10/17/2013"
JQCH-201266-FP-84,"610395232810","No","10/17/2013","10/17/2013"
JQCH-201266-FP-96,"610395232827","No","10/17/2013","10/17/2013"
JQCH-201266-FP-108,"610395232834","No","10/17/2013","10/17/2013"
JQCH-201266-FP-120,"610395232841","No","10/17/2013","10/17/2013"
DS-EMBS20134-84,"799665821074","No","10/17/2013","10/17/2013"
DS-EMBS20134-96,"799665821081","No","10/17/2013","10/17/2013"
DS-EMBS20134-108,"799665821104","No","10/17/2013","10/17/2013"
DS-EMBS20134-120,"799665821098","No","10/17/2013","10/17/2013"
DS-EMBS201316-84,"799665822033","No","10/17/2013","10/17/2013"
DS-EMBS201316-96,"799665822040","No","10/17/2013","10/17/2013"
DS-EMBS201316-108,"799665822064","No","10/17/2013","10/17/2013"
DS-EMBS201316-120,"799665822057","No","10/17/2013","10/17/2013"
DS-TF514-84,"799665818333","No","10/17/2013","10/17/2013"
DS-TF514-96,"799665818340","No","10/17/2013","10/17/2013"
DS-TF514-108,"799665818364","No","10/17/2013","10/17/2013"
DS-TF514-120,"799665818357","No","10/17/2013","10/17/2013"
DS-TF940-84,"799665818272","No","10/17/2013","10/17/2013"
DS-TF940-96,"799665818289","No","10/17/2013","10/17/2013"
DS-TF940-108,"799665818302","No","10/17/2013","10/17/2013"
DS-TF940-120,"799665818296","No","10/17/2013","10/17/2013"
DS-SDG6-84,"799665818456","No","10/17/2013","10/17/2013"
DS-SDG6-96,"799665818463","No","10/17/2013","10/17/2013"
DS-SDG6-108,"799665818487","No","10/17/2013","10/17/2013"
DS-SDG6-120,"799665818470","No","10/17/2013","10/17/2013"
PTSCH-13403-84,"799665833688","No","10/17/2013","10/17/2013"
PTSCH-13403-96,"799665833695","No","10/17/2013","10/17/2013"
PTSCH-13403-108,"799665833718","No","10/17/2013","10/17/2013"
PTSCH-13403-120,"799665833701","No","10/17/2013","10/17/2013"
DS-TFSN30-84,"799665818098","No","02/14/2015","02/14/2015"
DS-TFSN30-96,"799665818104","No","10/17/2013","10/17/2013"
DS-TFSN30-108,"799665818128","No","10/17/2013","10/17/2013"
DS-TFSN30-120,"799665818111","No","10/17/2013","10/17/2013"
PTSCH-13404-84,"799665833763","No","10/17/2013","10/17/2013"
PTSCH-13404-96,"799665833770","No","10/17/2013","10/17/2013"
PTSCH-13404-108,"799665833794","No","10/17/2013","10/17/2013"
PTSCH-13404-120,"799665833787","No","10/17/2013","10/17/2013"
DIS-ID15-84,"797734449730","No","10/17/2013","10/17/2013"
DIS-ID15-96,"797734449747","No","10/17/2013","10/17/2013"
DIS-ID15-108,"797734449754","No","10/17/2013","10/17/2013"
DIS-ID15-120,"797734449761","No","10/17/2013","10/17/2013"
DIS-ID224-108,"797734449792","No","10/17/2013","10/17/2013"
DIS-ID224-120,"797734449808","No","10/17/2013","10/17/2013"
DIS-ID224-96,"797734449785","No","10/17/2013","10/17/2013"
DIS-ID224-84,"797734449778","No","10/17/2013","10/17/2013"
DS-MSTK1-84,"799418019215","No","10/17/2013","10/17/2013"
DS-MSTK1-96,"799418019222","No","10/17/2013","10/17/2013"
DS-MSTK1-108,"799418019239","No","10/17/2013","10/17/2013"
DS-MSTK1-120,"799418019246","No","10/17/2013","10/17/2013"
SS-SBR13-108,"799665819699","No","10/17/2013","10/17/2013"
SS-SBR13-120,"799665819682","No","10/17/2013","10/17/2013"
SS-SBR13-84,"799665819668","No","10/17/2013","10/17/2013"
SS-SBR13-96,"799665819675","No","10/17/2013","10/17/2013"
DS-EMBS20138-84,"799665821395","No","10/17/2013","10/17/2013"
DS-EMBS20138-96,"799665821401","No","10/17/2013","10/17/2013"
DS-EMBS20138-108,"799665821425","No","10/17/2013","10/17/2013"
DS-EMBS20138-120,"799665821418","No","10/17/2013","10/17/2013"
DS-EMBS201320-84,"799665822354","No","10/17/2013","10/17/2013"
DS-EMBS201320-96,"799665822361","No","10/17/2013","10/17/2013"
DS-EMBS201320-108,"799665822385","No","10/17/2013","10/17/2013"
DS-EMBS201320-120,"799665822378","No","10/17/2013","10/17/2013"
VCCH-VET1201-108,"610395227311","No","10/17/2013","10/17/2013"
VCCH-VET1201-120,"610395227328","No","10/17/2013","10/17/2013"
VCCH-VET1201-84,"610395227298","No","10/17/2013","10/17/2013"
VCCH-VET1201-96,"610395227304","No","10/17/2013","10/17/2013"
SS-SBN11-96,"799665820091","No","10/17/2013","10/17/2013"
SS-SBN11-108,"799665820114","No","10/17/2013","10/17/2013"
SS-SBN11-120,"799665820107","No","10/17/2013","10/17/2013"
SS-SBN11-84,"799665820084","No","10/17/2013","10/17/2013"
PTSCH-42012-84,"610395222439","No","10/17/2013","10/17/2013"
PTSCH-42012-96,"610395222446","No","10/17/2013","10/17/2013"
PTSCH-42012-108,"610395222453","No","10/17/2013","10/17/2013"
PTSCH-42012-120,"610395222460","No","10/17/2013","10/17/2013"
SSRW-LF954-96,"799665811938","No","10/17/2013","10/17/2013"
SSRW-LF954-108,"799665811907","No","10/17/2013","10/17/2013"
SSRW-LF954-120,"799665811914","No","10/17/2013","10/17/2013"
DS-DST2-96,"799665817503","No","10/17/2013","10/17/2013"
DS-DST2-108,"799665817527","No","10/17/2013","10/17/2013"
DS-DST2-84,"799665817497","No","10/17/2013","10/17/2013"
DS-DST2-120,"799665817510","No","10/17/2013","10/17/2013"
DS-DST4-96,"799665817442","No","10/17/2013","10/17/2013"
DS-DST4-108,"799665817466","No","10/17/2013","10/17/2013"
DS-DST4-120,"799665817459","No","10/17/2013","10/17/2013"
DS-DST4-84,"799665817435","No","10/17/2013","10/17/2013"
