SKU,UPC,Inventory On Hand, Location,Hemming Allowed
DS-EFCH14-1,"13","-24","Livermore Warehouse","No"
 ,SKU,UPC,Inventory On Hand, Location,Safety Lock Qty,Avilable For Channel Sales/HPD Website
,"DS-EFCH14-84","799665818692","0","Livermore Warehouse","0","0"
,"DS-EFCH14-96","799665818708","0","Livermore Warehouse","0","0"
,"DS-EFCH14-108","799665818722","0","Livermore Warehouse","0","0"
,"DS-EFCH14-120","799665818715","0","Livermore Warehouse","0","0"
,"DS-EFCH14-CUS","799665818739","0","Livermore Warehouse","0",""
DS-EMBS201323,"","0","Livermore Warehouse","No"
,"DS-EMBS201323-84","799665822590","0","Livermore Warehouse","0","0"
,"DS-EMBS201323-96","799665822606","0","Livermore Warehouse","0","0"
,"DS-EMBS201323-108","799665822620","0","Livermore Warehouse","0","0"
,"DS-EMBS201323-120","799665822613","0","Livermore Warehouse","0","0"
,"DS-EMBS201323-CUS","799665822637","0","Livermore Warehouse","0",""
DS-EMBS201324,"","0","Livermore Warehouse","No"
,"DS-EMBS201324-96","799665822682","0","Livermore Warehouse","0","0"
,"DS-EMBS201324-108","799665822705","0","Livermore Warehouse","0","0"
,"DS-EMBS201324-CUS","799665822712","0","Livermore Warehouse","0",""
DS-EMBS20137,"","0","Livermore Warehouse","No"
,"DS-EMBS20137-84","799665821319","0","Livermore Warehouse","0","0"
,"DS-EMBS20137-96","799665821326","0","Livermore Warehouse","0","0"
,"DS-EMBS20137-108","799665821340","0","Livermore Warehouse","0","0"
,"DS-EMBS20137-120","799665821333","0","Livermore Warehouse","0","0"
,"DS-EMBS20137-CUS","799665821357","0","Livermore Warehouse","0",""
DS-TLT17,"","0","Livermore Warehouse","No"
,"DS-TLT17-84","799665818814","1","Livermore Warehouse","0","1"
,"DS-TLT17-84","799665818814","1","Atlanta Warehouse","0","1"
,"DS-TLT17-96","799665818821","0","Livermore Warehouse","0","0"
,"DS-TLT17-108","799665818845","0","Livermore Warehouse","0","0"
