SKU,UPC,Price,BaseCustomPrice
 	EFSCH-20134E1-108,"799418014913","129.0000","129.0000"
13928866-000-000,"797734455793","30.0000","30.0000"
13928884-000-000 ,"	797734455762 ","0.0000","0.0000"
13928925-000-000,"797734455748","0.0000","0.0000"
13928926-000-000,"797734455786","20.0000","20.0000"
13928931-000-000,"797734455779","10.0000","10.0000"
BN-SBN11VET1206-108,"799665820619","199.0000","199.0000"
BN-SBN11VET1206-120,"799665820602","209.0000","209.0000"
BN-SBN11VET1206-84,"799665820589","169.0000","169.0000"
BN-SBN11VET1206-96,"799665820596","189.0000","189.0000"
BN-SCY22VET1206-108,"799665820718","199.0000","199.0000"
BN-SCY22VET1206-120,"799665820701","209.0000","209.0000"
BN-SCY22VET1206-84,"799665820688","169.0000","169.0000"
BN-SCY22VET1206-96,"799665820695","189.0000","189.0000"
BN-SG17VET1206-108,"799665820565","199.0000","199.0000"
BN-SG17VET1206-120,"799665820558","209.0000","209.0000"
BN-SG17VET1206-84,"799665820534","169.0000","125.0000"
BN-SG17VET1206-96,"799665820541","120.0000","124.0000"
BN-SMB19VET1206-108,"799665820817","199.0000","199.0000"
BN-SMB19VET1206-120,"799665820800","209.0000","209.0000"
BN-SMB19VET1206-84,"799665820787","169.0000","169.0000"
BN-SMB19VET1206-96,"799665820794","189.0000","189.0000"
BN-SMR04VET1206-108,"799665820763","199.0000","199.0000"
BN-SMR04VET1206-120,"799665820756","209.0000","209.0000"
BN-SMR04VET1206-84,"799665820732","169.0000","169.0000"
BN-SMR04VET1206-96,"799665820749","189.0000","189.0000"
BN-SPW28VET1206-108,"799665820510","199.0000","199.0000"
BN-SPW28VET1206-120,"799665820503","209.0000","209.0000"
BN-SPW28VET1206-84,"799665820480","169.0000","169.0000"
BN-SPW28VET1206-96,"799665820497","189.0000","189.0000"
BN-STG16VET1206-108,"799665820664","199.0000","199.0000"
BN-STG16VET1206-120,"799665820657","209.0000","209.0000"
BN-STG16VET1206-84,"799665820633","169.0000","169.0000"
BN-STG16VET1206-96,"799665820640","189.0000","189.0000"
BOCH-120601-108,"797734455250","39.0000","39.0000"
BOCH-120601-108-GR,"797734456608","39.0000","39.0000"
BOCH-120601-108-GR,"797734456608","39.0000","39.0000"
BOCH-120601-120,"797734455267","44.0000","44.0000"
BOCH-120601-120-GR,"797734456615","44.0000","44.0000"
BOCH-120601-120-GR,"797734456615","44.0000","44.0000"
BOCH-120601-84,"797734455274","29.0000","29.0000"
BOCH-120601-84-GR,"797734456585","29.0000","29.0000"
