Part Number,Description,Quantity of Products,ETA Backorder date,DISCONTINUED,Qty
"BOCH-120601-108","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","0","'07/04/15","Yes","100"
"BOCH-120601-108-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","187",,"No",
"BOCH-120601-108-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","187","'07/04/15","No","100"
"BOCH-120601-120","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","0","'07/04/15","Yes","50"
"BOCH-120601-120-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","78",,"No",
"BOCH-120601-120-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","78","'07/04/15","No","40"
"BOCH-120601-84","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","0","'07/04/15","Yes","60"
"BOCH-120601-84-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","0",,"Yes",
"BOCH-120601-84-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","0","'07/04/15","Yes","100"
"BOCH-120601-96","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","348","'07/04/15","No","120"
"BOCH-120601-96-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","0",,"No",
"BOCH-120601-96-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","100"
"BOCH-120601-SW","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","0","'06/07/15","Yes","100"
"BOCH-131009-108","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","127","'07/04/15","No","100"
"BOCH-131009-108-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","295",,"No",
"BOCH-131009-120","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","83","'07/04/15","No","50"
"BOCH-131009-120-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","63","'07/25/15","No","20"
"BOCH-131009-84","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","0","'07/04/15","No","100"
"BOCH-131009-84-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","172","'07/25/15","No","96"
"BOCH-131009-96","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","258","'07/04/15","No","200"
"BOCH-131009-96-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","163","'07/04/15","No","120"
"BOCH-174402-108","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","83","'07/04/15","No","50"
"BOCH-174402-120","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","0",,"No",
"BOCH-174402-120-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","116","'07/04/15","No","60"
"BOCH-174402-84","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","0","'07/04/15","No","40"
"BOCH-174402-84-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","160"
"BOCH-174402-96","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","98","'07/04/15","No","30"
"BOCH-174402-96-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","0",,"No",
"BOCH-174402-96-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","100"
"BOCH-190303-108","Half Price Drapes BOCH-190303 Jet Blackout Curtain (2 Panels)","151","'07/04/15","No","100"
"BOCH-190303-108-GR","Half Price Drapes BOCH-190303 Jet Grommet Blackout Curtain (2 Panels)","136","'07/04/15","No","80"
"BOCH-190303-120","Half Price Drapes BOCH-190303 Jet Blackout Curtain (2 Panels)","140","'07/04/15","No","60"
"BOCH-190303-120-GR","Half Price Drapes BOCH-190303 Jet Grommet Blackout Curtain (2 Panels)","238","'07/04/15","No","60"
"BOCH-190303-84","Half Price Drapes BOCH-190303 Jet Blackout Curtain (2 Panels)","0","'07/04/15","No","50"
"BOCH-190303-84-GR","Half Price Drapes BOCH-190303 Jet Grommet Blackout Curtain (2 Panels)","105","'07/04/15","No","80"
"BOCH-190303-96","Half Price Drapes BOCH-190303 Jet Blackout Curtain (2 Panels)","275","'07/04/15","No","120"
"BOCH-190303-96-GR","Half Price Drapes BOCH-190303 Jet Grommet Blackout Curtain (2 Panels)","178","'07/04/15","No","110"
"BOCH-191016-108","Half Price Drapes BOCH-191016 Java Blackout Curtain (2 Panels)","0","'07/04/15","No","80"
"BOCH-191016-108-GR","Half Price Drapes BOCH-191016 Java Grommet Blackout Curtain (2 Panels)","375","'07/04/15","No","60"
"BOCH-191016-120","Half Price Drapes BOCH-191016 Java Blackout Curtain (2 Panels)","88","'07/04/15","No","60"
"BOCH-191016-120-GR","Half Price Drapes BOCH-191016 Java Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","50"
"BOCH-191016-84","Half Price Drapes BOCH-191016 Java Blackout Curtain (2 Panels)","104","'07/04/15","No","60"
"BOCH-191016-84-GR","Half Price Drapes BOCH-191016 Java Grommet Blackout Curtain (2 Panels)","121",,"No",
"BOCH-191016-96","Half Price Drapes BOCH-191016 Java Blackout Curtain (2 Panels)","177","'07/04/15","No","130"
"BOCH-191016-96-GR","Half Price Drapes BOCH-191016 Java Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","20"
"BOCH-193810-108","Half Price Drapes BOCH-193810 Eclipse Blackout Curtain (2 Panels)","0","'07/25/15","No","180"
"BOCH-193810-108-GR","Half Price Drapes BOCH-193810 Eclipse Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","80"
"BOCH-193810-120","Half Price Drapes BOCH-193810 Eclipse Blackout Curtain (2 Panels)","0","'07/25/15","No","72"
"BOCH-193810-120-GR","Half Price Drapes BOCH-193810 Eclipse Grommet Blackout Curtain (2 Panels)","0","'07/25/15","No","20"
"BOCH-193810-84","Half Price Drapes BOCH-193810 Eclipse Blackout Curtain (2 Panels)","0","'07/25/15","No","120"
"BOCH-193810-84-GR","Half Price Drapes BOCH-193810 Eclipse Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","80"
"BOCH-193810-96","Half Price Drapes BOCH-193810 Eclipse Blackout Curtain (2 Panels)","0","'07/25/15","No","100"
"BOCH-193810-96-GR","Half Price Drapes BOCH-193810 Eclipse Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","200"
"BOCH-201301-108","Half Price Drapes BOCH-201301 Aubergine Blackout Curtain (2 Panels)","224","'07/04/15","No","60"
"BOCH-201301-108-GR","Half Price Drapes BOCH-201301 Aubergine Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","80"
"BOCH-201301-120","Half Price Drapes BOCH-201301 Aubergine Blackout Curtain (2 Panels)","191","'07/04/15","No","70"
"BOCH-201301-120-GR","Half Price Drapes BOCH-201301 Aubergine Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","20"
"BOCH-201301-84","Half Price Drapes BOCH-201301 Aubergine Blackout Curtain (2 Panels)","107","'07/04/15","No","140"
"BOCH-201301-84-GR","Half Price Drapes BOCH-201301 Aubergine Grommet Blackout Curtain (2 Panels)","146","'07/04/15","No","100"
"BOCH-201301-96","Half Price Drapes BOCH-201301 Aubergine Blackout Curtain (2 Panels)","212","'07/04/15","No","140"
"BOCH-201301-96-GR","Half Price Drapes BOCH-201301 Aubergine Grommet Blackout Curtain (2 Panels)","0","'07/04/15","No","140"
"BOCH-201302-108","Half Price Drapes BOCH-201302 Lichen Blackout Curtain (2 Panels)","61","'07/25/15","No","60"
"BOCH-201302-108-GR","Half Price Drapes BOCH-201302 Lichen Grommet Blackout Curtain (2 Panels)","179","'07/04/15","No","60"
"BOCH-201302-120","Half Price Drapes BOCH-201302 Lichen Blackout Curtain (2 Panels)","36","'07/25/15","No","50"
"BOCH-201302-120-GR","Half Price Drapes BOCH-201302 Lichen Grommet Blackout Curtain (2 Panels)","106","'07/04/15","No","30"
"BOCH-201302-84","Half Price Drapes BOCH-201302 Lichen Blackout Curtain (2 Panels)","0","'07/25/15","No","144"
"BOCH-201302-84-GR","Half Price Drapes BOCH-201302 Lichen Grommet Blackout Curtain (2 Panels)","40","'07/04/15","No","120"
"BOCH-201302-96","Half Price Drapes BOCH-201302 Lichen Blackout Curtain (2 Panels)","0","'07/25/15","No","100"
"BOCH-201302-96-GR","Half Price Drapes BOCH-201302 Lichen Grommet Blackout Curtain (2 Panels)","104","'07/04/15","No","140"
"BOCH-201303-108","Half Price Drapes BOCH-201303 Marigold Blackout Curtain (2 Panels)","174",,"No",
"BOCH-201303-108-GR","Half Price Drapes BOCH-201303 Marigold Grommet Blackout Curtain (2 Panels)","150","'07/04/15","No","100"
