SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"SHCH-EMB20136-SW","184","0.9900",,Inactive,"Alegra Gold Embroidered Sheer Swatch","SHCH-EMB20136-SW","799418016269","184"
"EFSCH-AL450C4-SW","119","0.9900",,Active,"Alexandria Merlot Faux Taffeta Silk Swatch","EFSCH-AL450C4-SW","799418014449","119"
"PRTW-D05-SW","33","0.9900",,Inactive,"Allium Blue Gray Printed Cotton Swatch","PRTW-D05-SW","799665827953","33"
"PTCH-JTSP001-SW","263","0.9900",,Inactive,"Azul Faux Silk Taffeta Swatch","PTCH-JTSP001-SW","799665824631","263"
"PRTW-D09-SW","35","0.9900",,Inactive,"Bali Red Printed Cotton Swatch","PRTW-D09-SW","799665827557","35"
"SHCH-EMB20135-SW","175","0.9900",,Inactive,"Bella Gold Embroidered Sheer Swatch","SHCH-EMB20135-SW","799418016238","175"
"PTSCH-13404-SW","167","0.9900",,Active,"Bijoux Faux Silk Taffeta Stripe Swatch","PTSCH-13404-SW","799665833824","167"
"BOCH-131009-SW","157","0.9900",,Inactive,"Biscotti Blackout Swatch","BOCH-131009-SW","799665831226","157"
"DIS-ID15-SW","0","0.9900",,Active,"Biscotti Textured Dupioni Silk Swatch","DIS-ID15-SW","797734449129","0"
"PRTW-D17-SW","34","0.9900",,Inactive,"Cabana Black Printed Cotton Swatch","PRTW-D17-SW","799665827670","34"
"PRTW-D15-SW","89","0.9900",,Inactive,"Cabana Burgundy Printed Cotton Swatch","PRTW-D15-SW","799665827717","89"
"PRTW-D16-SW","0","0.9900",,Inactive,"Cabana Navy Printed Cotton Swatch","PRTW-D16-SW","799665827755","0"
"PRTW-D31-SW","35","0.9900",,Inactive,"Cabana Spice Printed Cotton Swatch","PRTW-D31-SW","799665827359","35"
"PRTW-D32-SW","0","0.9900",,Inactive,"Cabana Teal Printed Cotton Swatch","PRTW-D32-SW","799665827434","0"
"PRTW-D33-SW","0","0.9900",,Inactive,"Cabana Yellow Printed Cotton Swatch","PRTW-D33-SW","799665827519","0"
"SHCH-EMBOCS3231-SW","34","0.9900",,Inactive,"Camille Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS3231-SW","799418016146","34"
"BOCH-KC30","128","109.9900",,Inactive,"CharlestonStripe  Blackout Curtain","BOCH-KC30","799665825881","128"
"DIS-ID112-SW","33","0.9900",,Active,"Chili Pepper Textured Dupioni Silk Swatch","DIS-ID112-SW","797734449068","33"
"DIS-ID124-SW","34","0.9900",,Active,"Chocolate Textured Dupioni Silk Swatch","DIS-ID124-SW","797734449082","34"
"SHCH-EMBOCS3595-SW","35","0.9900",,Inactive,"Cleopatra Gold Embroidered Sheer Swatch","SHCH-EMBOCS3595-SW","799418016207","35"
"SHCH-EMB20133B-SW","182","0.9900",,Inactive,"Contessa Creme Embroidered Sheer Swatch","SHCH-EMB20133B-SW","799418016085","182"
"SHCH-EMB20133A-SW","186","0.9900",,Inactive,"Contessa Gold Embroidered Sheer Swatch","SHCH-EMB20133A-SW","799418016054","186"
"PTCH-JTSP209-SW","93","0.9900",,Inactive,"Copper Brown Faux Silk Taffeta Swatch","PTCH-JTSP209-SW","799665824471","93"
"PTCH-JTSP102-SW","305","0.9900",,Inactive,"Dahlia Faux Silk Taffeta Swatch","PTCH-JTSP102-SW","799665812898","305"
"PRTW-D26-SW","0","0.9900",,Inactive,"Deuville Printed Cotton Swatch","PRTW-D26-SW","799665826956","0"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Doublewide Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Doublewide Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"BOCH601-SW","170","0.0000",,Inactive,"Egg Nog Blackout Swatch","BOCH601-SW","799665831196","170"
"PTCH-JTSP208-SW","156","0.9900",,Inactive,"Emerald Green Faux Silk Taffeta Swatch","PTCH-JTSP208-SW","799665824396","156"
"SHCH-EMB20137-SW","187","0.9900",,Inactive,"Esparanza Copper Embroidered Sheer Swatch","SHCH-EMB20137-SW","799418016290","187"
