SKU,Discontinue,ID
"DIS-ID112","Test by karan","testtt"
"DIS-ID7906","Test by karan","testtt"
"FHLCH-AJ411-GR-50X108","Test by karan","testtt"
"CUST-ID-1-50X96","Test by karan","testtt"
"VPCH-190912-50X108","Test by karan","testtt"
"PTSCH-11100-50X96","Test by karan","testtt"
"PTSCH-11100-50X84","Test by karan","testtt"
"FHLCH-AJ45-GR-50X96","Test by karan","testtt"
"BOCH-KC12-50X96","Test by karan","testtt"
"VPCH-190622-50X108","Test by karan","testtt"
"BOCH-KC3-50X120","Test by karan","testtt"
"VCCH-VET12010-120","Test by karan","testtt"
"CUST-ID-15-50X96","Test by karan","testtt"
"CUST-ID-9-50X96","Test by karan","testtt"
"SHFLNCH-M013-50X120","Test by karan","testtt"
"VPCH-192018-50X108","Test by karan","testtt"
"VPCH-110602-50X84","Test by karan","testtt"
"CZCH-CTZ1-50X84","Test by karan","testtt"
"BOCH-KC1-50X108","Test by karan","testtt"
"BOCH-KC92-50X84","Test by karan","testtt"
"FHLCH-AJ411-GR-50X96","Test by karan","testtt"
"VPCH-110602-50X120","Test by karan","testtt"
"PTC112-Platinum-50X84","Test by karan","testtt"
"PTFS-1-2012-50X120","Test by karan","testtt"
"BOCH-KC6-50X108","Test by karan","testtt"
"CUST-ID-50-50X96","Test by karan","testtt"
"CUST-ID-1-50X108","Test by karan","testtt"
"VPCH-VET-1211-100X108","Test by karan","testtt"
"VPCH-VET-1211-100X96","Test by karan","testtt"
"VCCH-VET1205-120","Test by karan","testtt"
"BOCH-KC5-50X108","Test by karan","testtt"
"JQCH-20122010-50X108","Test by karan","testtt"
"CZCH-CTZ1-GR-50X84","Test by karan","testtt"
"BOCH-KC92-50X108","Test by karan","testtt"
"PTFS-2-2012-50X108","Test by karan","testtt"
"PTC-27-Mushroom-50X120","Test by karan","testtt"
"VPCH-184005-50X84","Test by karan","testtt"
"BOCH-191016-108-GR","Test by karan","testtt"
"CUST-7727-50X96","Test by karan","testtt"
"CUST-7806-50X108","Test by karan","testtt"
"BOCH-190303-84-GR","Test by karan","testtt"
"BOCH-174402-96","Test by karan","testtt"
"VPCH-VET-1212-100X84","Test by karan","testtt"
"PTC112-Platinum-50X96","Test by karan","testtt"
"VPCH-141113-50X84","Test by karan","testtt"
"BOCH-191016-96-GR","Test by karan","testtt"
"BOCH-174402-84","Test by karan","testtt"
"BOCH-174402-84-GR","Test by karan","testtt"
"BOCH-154702-96-GR","Test by karan","testtt"
"BOCH-190303-96-GR","Test by karan","testtt"
"BOCH-174402-96-GR","Test by karan","testtt"
"JQCH-2012204-50X108","Test by karan","testtt"
"CUST-ID-7906-50X108","Test by karan","testtt"
"BOCH-193810-84","Test by karan","testtt"
"VPCH-VET-1216-100X120","Test by karan","testtt"
"BOCH-120601-108-GR","Test by karan","testtt"
"CUST-ID-1-50X120","Test by karan","testtt"
"BOCH-KC91C-50X84","Test by karan","testtt"
"BOCH-120601-120-GR","Test by karan","testtt"
"VPCH-141113-50X96","Test by karan","testtt"
"CZCH-CTZ1-50X108","Test by karan","testtt"
"SHFLNCH-M018-50X108","Test by karan","testtt"
"PTSCH-11095-50X84","Test by karan","testtt"
"PTSCH-11095-50X108","Test by karan","testtt"
"BOCH-193810-96","Test by karan","testtt"
"PTSCH-11087-50X84","Test by karan","testtt"
"CUST-ID-112-50X108","Test by karan","testtt"
"VPCH-VET-1211-100X84","Test by karan","testtt"
"SHCH-OUR-192-ASH-48X108","Test by karan","testtt"
"CZCH-CTZ8-50X84","Test by karan","testtt"
"BOCH-KC92-50X96","Test by karan","testtt"
"PRTW-D-09-108","Test by karan","testtt"
"PRTW-D-01-96","Test by karan","testtt"
"BOCH-KC3-50X84","Test by karan","testtt"
"CUST-ID-15-50X108","Test by karan","testtt"
"BOCH-KC12-50X84","Test by karan","testtt"
"CZCH-CTZ9-50X96","Test by karan","testtt"
"PRTW-D-11-108","Test by karan","testtt"
"BOCH-190303-108-GR","Test by karan","testtt"
"PRTW-D-12-84","Test by karan","testtt"
"SHCH-OUR-192-ASH-48X84","Test by karan","testtt"
"FHLCH-AJ411-GR-50X84","Test by karan","testtt"
"BOCH-190303-84","Test by karan","testtt"
"FHLCH-AJ416-GR-50X96","Test by karan","testtt"
"BOCH-KC5-50X84","Test by karan","testtt"
"VPCH-VET-1216-100X108","Test by karan","testtt"
"VPCH-194007-50X108","Test by karan","testtt"
"BOCH-193810-84-GR","Test by karan","testtt"
"VPCH-192315-50X108","Test by karan","testtt"
"SHCH-OUR-192-NAT-48X96","Test by karan","testtt"
"BOCH-KC7-50X96","Test by karan","testtt"
"VPCH-145002-50X96","Test by karan","testtt"
"BOCH-174402-120","Test by karan","testtt"
"BOCH-131009-96-GR","Test by karan","testtt"
"BOCH-191016-108","Test by karan","testtt"
"CUST-7727-50X84","Test by karan","testtt"
"FHLCH-AJ416-50X96","Test by karan","testtt"
"VPCH-VET-1216-100X96","Test by karan","testtt"
"VPCH-VET-1217-100X96","Test by karan","testtt"
"BOCH-131009-108-GR","Test by karan","testtt"
"SHCH-OUR-192-BLU-48X84","Test by karan","testtt"
"VPCH-VET-1213-100X84","Test by karan","testtt"
"VCCH-VET1204-96","Test by karan","testtt"
"BOCH-131009-84-GR","Test by karan","testtt"
"BOCH-120601-96-GR","Test by karan","testtt"
"ID-20-50X108","Test by karan","testtt"
"VPCH-VET-1214-100X108","Test by karan","testtt"
"VPCH-VET-1212-100X96","Test by karan","testtt"
"BOCH-KC91C-50X96","Test by karan","testtt"
"BOCH-154702-108-GR","Test by karan","testtt"
"CZCH-CTZ5-50X96","Test by karan","testtt"
"VPCH-120601-50X96","Test by karan","testtt"
"VPCH-194023-50X84","Test by karan","testtt"
"BOCH-KC2-50X120","Test by karan","testtt"
"BOCH-174402-108","Test by karan","testtt"
"PTSCH-11091-50X96","Test by karan","testtt"
"SHCH-OUR-192-BLU-48X96","Test by karan","testtt"
"PTSCH-11091-50X108","Test by karan","testtt"
"PTSCH-11091-50X84","Test by karan","testtt"
"PRTW-D-13-108","Test by karan","testtt"
"BOCH-193810-108-GR","Test by karan","testtt"
"PRTW-D-16-84","Test by karan","testtt"
"CUST-ID-221-50X108","Test by karan","testtt"
"BOCH-154702-96","Test by karan","testtt"
"PTC-87-Paprika-50X108","Test by karan","testtt"
"CUST-ID-15-50X120","Test by karan","testtt"
"BOCH-KC91-50X96","Test by karan","testtt"
"BOCH-193810-120-GR","Test by karan","testtt"
"CZCH-CTZ1-50X96","Test by karan","testtt"
"SHCH-OUR-192-BLU-48X108","Test by karan","testtt"
"BOCH-201303-96","Test by karan","testtt"
"BOCH-201303-84","Test by karan","testtt"
"BOCH-201303-108","Test by karan","testtt"
"PTC-54-Honey-50X84","Test by karan","testtt"
"BOCH-190303-120","Test by karan","testtt"
"CZCH-CTZ5-GR-50X84","Test by karan","testtt"
"BOCH-201303-120","Test by karan","testtt"
"PRTW-D-04-84","Test by karan","testtt"
"BOCH-193810-96-GR","Test by karan","testtt"
"PTC-102-Dahlia-50X120","Test by karan","testtt"
"BOCH-120601-96","Test by karan","testtt"
"PRTW-D-01-120","Test by karan","testtt"
"PRTW-D-01-84","Test by karan","testtt"
"BOCH-KC91-50X108","Test by karan","testtt"
"CZCH-CTZ11-GR-50X84","Test by karan","testtt"
"PRTW-D-02-96","Test by karan","testtt"
"PRTW-D-02-84","Test by karan","testtt"
"BOCH-KC6-50X84","Test by karan","testtt"
"BOCH-KC12-50X108","Test by karan","testtt"
"VPCH-VET-1213-100X96","Test by karan","testtt"
"CZCH-CTZ1-50X120","Test by karan","testtt"
"BOCH-154702-120-GR","Test by karan","testtt"
"VPCH-190912-50X96","Test by karan","testtt"
"BOCH-190303-96","Test by karan","testtt"
"CUST-ID-112-50X84","Test by karan","testtt"
"BOCH-201303-GR-84","Test by karan","testtt"
"VPCH-VET-1217-100X108","Test by karan","testtt"
"CZCH-CTZ6-GR-50X96","Test by karan","testtt"
"BOCH-193810-108","Test by karan","testtt"
"VPCH-141113-50X120","Test by karan","testtt"
"PRTW-D-16-96","Test by karan","testtt"
"BOCH-KC91-50X84","Test by karan","testtt"
"PRTW-D-04-96","Test by karan","testtt"
"PTFFLK-C12A-84","Test by karan","testtt"
"BOCH-190303-108","Test by karan","testtt"
"CZCH-CTZ8-GR-50X108","Test by karan","testtt"
"CUST-ID-224-50X84","Test by karan","testtt"
"BOCH-KC2-50X84","Test by karan","testtt"
"BOCH-KC8-50X108","Test by karan","testtt"
"BOCH-KC92-50X120","Test by karan","testtt"
"BOCH-KC6-50X96","Test by karan","testtt"
"SHCH-OUR-192-NAT-48X108","Test by karan","testtt"
"PTC-29-White-50X96","Test by karan","testtt"
"PRTW-D-05-96","Test by karan","testtt"
"CZCH-CTZ8-GR-50X84","Test by karan","testtt"
"PRTW-D-09-84","Test by karan","testtt"
"PRTW-D-17-108","Test by karan","testtt"
"BOCH-131009-84","Test by karan","testtt"
"BOCH-131009-108","Test by karan","testtt"
"BOCH-191016-96","Test by karan","testtt"
"VPCH-120601-96","Test by karan","testtt"
"VPCH-190912-120","Test by karan","testtt"
