ID,image,Discontinue,SKU,Name,UPC
"testtt","","Test by karan","PTSCH-11100","Milazzo Faux Silk Taffeta Stripe Curtain","797734451863"
"testtt","","Test by karan","DIS-ID7906","Winter Blue Textured Dupioni Silk Curtain","797734450118"
"testtt","","Test by karan","DIS-ID112","Chili Pepper Textured Dupioni Silk Curtain","797734450279"
"testtt","","Test by karan","BOCH-KC24","Aegean Blackout Curtain","799665825379"
"testtt","","Test by karan","PDCH-KBS3","Almond Vintage Textured Faux Dupioni Silk Curtain","797734455687"
"testtt","","Test by karan","BOCH-KC5","Ambrosia Stripe Blackout Curtain","610395225690"
"testtt","","Test by karan","PTSCH-11091","Annabelle Faux Silk Taffeta Stripe Curtain","610395223467"
"testtt","","Test by karan","JQCH-201263","Astoria Gold & Bronze Faux Silk Jacquard Curtain","610395226932"
"testtt","","Test by karan","JQCH-201268","Astoria Red & Bronze Faux Silk Jacquard Curtain","610395227014"
"testtt","","Test by karan","JQCH-201266","Astoria Taupe & Mushroom Faux Silk Jacquard Curtain","610395226970"
"testtt","","Test by karan","PTCH-JTSP001","Azul Faux Silk Taffeta Curtain","799665824570"
"testtt","","Test by karan","SHCH-EMB20135","Bella Gold Embroidered Sheer Curtain","799665834906"
"testtt","","Test by karan","PTSCH-13403","Bergamo Faux Silk Taffeta Stripe Curtain","799665833688"
"testtt","","Test by karan","FHLCH-YL7178109","Bermuda Gray Linen Blend Stripe Curtain","799665828493"
"testtt","","Test by karan","FHLCH-YL7176209","Bermuda Stone Linen Blend Stripe Curtain","799665830106"
"testtt","","Test by karan","PTSCH-13404","Bijoux Faux Silk Taffeta Stripe Curtain","799665833763"
"testtt","","Test by karan","BOCH-131009","Biscotti Blackout Curtain","797734455311"
"testtt","","Test by karan","BOCH-131009-GR","Biscotti Grommet Blackout Curtain","797734456622"
"testtt","","Test by karan","DIS-ID15","Biscotti Textured Dupioni Silk Curtain","797734449730"
"testtt","","Test by karan","DIS-ID224","Black Textured Dupioni Silk Curtain","797734449778"
"testtt","","Test by karan","VCCH-VET1201","British Tan Vintage Cotton Velvet Curtain","610395227298"
