SKU,Discontinue,ID,Name,UPC,image
"PTSCH-11100","Test by karan","testtt","Milazzo Faux Silk Taffeta Stripe Curtain","797734451863",""
"DIS-ID7906","Test by karan","testtt","Winter Blue Textured Dupioni Silk Curtain","797734450118",""
"DIS-ID112","Test by karan","testtt","Chili Pepper Textured Dupioni Silk Curtain","797734450279",""
"BOCH-KC24","Test by karan","testtt","Aegean Blackout Curtain","799665825379",""
"PDCH-KBS3","Test by karan","testtt","Almond Vintage Textured Faux Dupioni Silk Curtain","797734455687",""
"BOCH-KC5","Test by karan","testtt","Ambrosia Stripe Blackout Curtain","610395225690",""
"PTSCH-11091","Test by karan","testtt","Annabelle Faux Silk Taffeta Stripe Curtain","610395223467",""
"JQCH-201263","Test by karan","testtt","Astoria Gold & Bronze Faux Silk Jacquard Curtain","610395226932",""
"JQCH-201268","Test by karan","testtt","Astoria Red & Bronze Faux Silk Jacquard Curtain","610395227014",""
"JQCH-201266","Test by karan","testtt","Astoria Taupe & Mushroom Faux Silk Jacquard Curtain","610395226970",""
"PTCH-JTSP001","Test by karan","testtt","Azul Faux Silk Taffeta Curtain","799665824570",""
"SHCH-EMB20135","Test by karan","testtt","Bella Gold Embroidered Sheer Curtain","799665834906",""
"PTSCH-13403","Test by karan","testtt","Bergamo Faux Silk Taffeta Stripe Curtain","799665833688",""
"FHLCH-YL7178109","Test by karan","testtt","Bermuda Gray Linen Blend Stripe Curtain","799665828493",""
"FHLCH-YL7176209","Test by karan","testtt","Bermuda Stone Linen Blend Stripe Curtain","799665830106",""
"PTSCH-13404","Test by karan","testtt","Bijoux Faux Silk Taffeta Stripe Curtain","799665833763",""
"BOCH-131009","Test by karan","testtt","Biscotti Blackout Curtain","797734455311",""
"BOCH-131009-GR","Test by karan","testtt","Biscotti Grommet Blackout Curtain","797734456622",""
"DIS-ID15","Test by karan","testtt","Biscotti Textured Dupioni Silk Curtain","797734449730",""
"DIS-ID224","Test by karan","testtt","Black Textured Dupioni Silk Curtain","797734449778",""
"VCCH-VET1201","Test by karan","testtt","British Tan Vintage Cotton Velvet Curtain","610395227298",""
"PTSCH-42012","Test by karan","testtt","Burma Faux Silk Taffeta Stripe Curtain","610395222439",""
"VCCH-VET1208","Test by karan","testtt","Burnt Olive Vintage Cotton Velvet Curtain","610395227571",""
"PDCH-KBS16","Test by karan","testtt","Burnt Orange Vintage Textured Faux Dupioni Silk Curtain","797734458718",""
"PRTW-D31","Test by karan","testtt","Cabana Spice Printed Cotton Curtain","799665827298",""
"PRTW-D32","Test by karan","testtt","Cabana Teal Printed Cotton Curtain","799665827373",""
"PRTW-D33","Test by karan","testtt","Cabana Yellow Printed Cotton Curtain","799665827458",""
"SHCH-EMBOCS3231","Test by karan","testtt","Camille Taupe Gold Embroidered Sheer Curtain","799665834784",""
"PTSCH-SLK218","Test by karan","testtt","Cappuccino Faux Silk Taffeta Stripe Curtain","610395223306",""
"BOCH-KC35","Test by karan","testtt","Casablanca Rose Blackout Curtain","799665826253",""
"BOCH-KC26","Test by karan","testtt","Casablanca Teal Blackout Curtain","799665825539",""
