83290,quantity
"EFSCH-20134E1-108","130"
"13928866-000-000","104"
"13928925-000-000","0"
"13928926-000-000","205"
"13928931-000-000","186"
"BOCH-120601-108","199"
"BOCH-120601-108-GR","197"
"BOCH-120601-108-GR","199"
"BOCH-120601-120","162"
"BOCH-120601-120-GR","88"
"BOCH-120601-84","170"
"BOCH-120601-84-GR","39"
"BOCH-120601-84-GR","55"
"BOCH-120601-96","358"
"BOCH-120601-96-GR","174"
"BOCH-120601-SW","170"
"BOCH-131009-108","137"
"BOCH-131009-108-GR","305"
"BOCH-131009-120","93"
"BOCH-131009-120-GR","73"
"BOCH-131009-84","105"
"BOCH-131009-84-GR","182"
"BOCH-131009-96","268"
"BOCH-131009-96-GR","173"
"BOCH-174402-108","93"
"BOCH-174402-120","86"
"BOCH-174402-120-GR","126"
"BOCH-174402-84","38"
"BOCH-174402-84-GR","49"
"BOCH-174402-96","108"
"BOCH-174402-96-GR","160"
"BOCH-174402-96-GR","189"
"BOCH-190303-108","161"
"BOCH-190303-108-GR","146"
"BOCH-190303-120","150"
"BOCH-190303-120-GR","248"
"BOCH-190303-84","352"
"BOCH-190303-84-GR","115"
"BOCH-190303-96","285"
"BOCH-190303-96-GR","188"
"BOCH-191016-108","208"
"BOCH-191016-108-GR","385"
"BOCH-191016-120","98"
"BOCH-191016-120-GR","146"
"BOCH-191016-84","114"
"BOCH-191016-84-GR","131"
"BOCH-191016-96","187"
"BOCH-191016-96-GR","167"
"BOCH-193810-108","60"
"BOCH-193810-108-GR","100"
"BOCH-193810-120","0"
"BOCH-193810-120-GR","69"
"BOCH-193810-84","63"
"BOCH-193810-84-GR","43"
"BOCH-193810-96","0"
"BOCH-193810-96-GR","63"
"BOCH-201301-108","234"
"BOCH-201301-108-GR","381"
"BOCH-201301-120","201"
"BOCH-201301-120-GR","204"
"BOCH-201301-84","117"
"BOCH-201301-84-GR","156"
"BOCH-201301-96","222"
"BOCH-201301-96-GR","379"
"BOCH-201302-108","71"
"BOCH-201302-108-GR","189"
"BOCH-201302-120","46"
"BOCH-201302-120-GR","116"
"BOCH-201302-84","10"
"BOCH-201302-84-GR","50"
"BOCH-201302-96","10"
"BOCH-201302-96-GR","114"
"BOCH-201303-108","184"
"BOCH-201303-108-GR","160"
"BOCH-201303-120","64"
"BOCH-201303-120-GR","72"
"BOCH-201303-84","0"
"BOCH-201303-84-GR","21"
"BOCH-201303-96","48"
"BOCH-201303-96-GR","93"
"BOCH-201304-108","187"
"BOCH-201304-108-GR","300"
"BOCH-201304-120","109"
"BOCH-201304-120-GR","175"
"BOCH-201304-63","52"
"BOCH-201304-84-GR","42"
"BOCH-201304-96","129"
"BOCH-201304-96-GR","291"
"BOCH-201305-108","186"
"BOCH-201305-108-GR","247"
"BOCH-201305-120","85"
"BOCH-201305-120-GR","120"
"BOCH-201305-84","0"
"BOCH-201305-84-GR","90"
"BOCH-201305-96","64"
"BOCH-201305-96-GR","223"
"BOCH-KC1-108","345"
"BOCH-KC1-120","89"
"BOCH-KC1-84","209"
"BOCH-KC1-96","242"
"BOCH-KC20-108","108"
"BOCH-KC20-120","81"
"BOCH-KC20-84","0"
"BOCH-KC20-96","55"
"BOCH-KC21-108","333"
"BOCH-KC21-120","169"
"BOCH-KC21-84","90"
"BOCH-KC21-96","279"
"BOCH-KC22-108","139"
"BOCH-KC22-120","53"
"BOCH-KC22-84","0"
"BOCH-KC22-96","76"
"BOCH-KC23-108","0"
"BOCH-KC23-120","0"
"BOCH-KC23-84","0"
"BOCH-KC23-96","0"
"BOCH-KC24-108","110"
"BOCH-KC24-120","56"
"BOCH-KC24-84","0"
"BOCH-KC24-96","127"
"BOCH-KC25-108","97"
"BOCH-KC25-120","0"
"BOCH-KC25-84","85"
"BOCH-KC25-96","104"
"BOCH-KC26-108","219"
"BOCH-KC26-120","82"
"BOCH-KC26-84","208"
"BOCH-KC26-96","200"
"BOCH-KC27-108","286"
"BOCH-KC27-120","129"
"BOCH-KC27-96","279"
"BOCH-KC28-108","97"
"BOCH-KC28-120","71"
"BOCH-KC28-84","0"
"BOCH-KC28-96","75"
"BOCH-KC29-108","170"
"BOCH-KC29-120","82"
"BOCH-KC29-84","34"
"BOCH-KC29-96","111"
"BOCH-KC30-108","128"
"BOCH-KC30-120","40"
"BOCH-KC30-84","85"
"BOCH-KC30-96","90"
"BOCH-KC31-108","209"
"BOCH-KC31-120","72"
"BOCH-KC31-84","0"
"BOCH-KC31-96","49"
"BOCH-KC32-108","163"
"BOCH-KC32-120","72"
