SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight
 EFSCH-20134E1-108,129,129,3,0
 JQCH-HANB4-CUS,0,0,5,0
123,0,0,0,11.52
2321,0,0,0,11.52
BN-SBN11VET1206,169,0,0,6
BN-SBN11VET1206-108,199,199,3,7
BN-SBN11VET1206-120,209,209,4,8
BN-SBN11VET1206-84,169,169,1,6
BN-SBN11VET1206-96,189,189,2,7
BN-SBN11VET1206-CUS,0,0,5,2.4
BN-SBN11VET1206-SW,1.99,0,999,0.05
BN-SCY22VET1206,169,0,0,6
BN-SCY22VET1206-108,199,199,3,7
BN-SCY22VET1206-120,209,209,4,8
BN-SCY22VET1206-84,169,169,1,6
BN-SCY22VET1206-96,189,189,2,7
BN-SCY22VET1206-CUS,0,0,5,2.4
BN-SCY22VET1206-SW,1.99,0,999,0.05
BN-SG17VET1206,120,0,0,6
BN-SG17VET1206-108,199,199,3,7
BN-SG17VET1206-120,209,209,4,8
BN-SG17VET1206-84,169,125,1,6
BN-SG17VET1206-96,120,124,2,7
BN-SG17VET1206-CUS,0,0,5,2.4
BN-SG17VET1206-SW,1.99,0,999,0.05
BN-SMB19VET1206,169,0,0,6
BN-SMB19VET1206-108,199,199,3,7
BN-SMB19VET1206-120,209,209,4,8
BN-SMB19VET1206-84,169,169,1,6
BN-SMB19VET1206-96,189,189,2,7
BN-SMB19VET1206-CUS,0,0,5,2.4
BN-SMB19VET1206-SW,1.99,0,999,0.05
BN-SMR04VET1206,169,0,0,6
BN-SMR04VET1206-108,199,199,3,7
BN-SMR04VET1206-120,209,209,4,8
BN-SMR04VET1206-84,169,169,1,6
BN-SMR04VET1206-96,189,189,2,7
BN-SMR04VET1206-CUS,0,0,5,2.4
BN-SMR04VET1206-SW,1.99,0,999,0.05
BN-SPW28VET1206,169,0,0,6
BN-SPW28VET1206-108,199,199,3,7
BN-SPW28VET1206-120,209,209,4,8
BN-SPW28VET1206-84,169,169,1,6
BN-SPW28VET1206-96,189,189,2,7
BN-SPW28VET1206-CUS,0,0,5,2.4
BN-SPW28VET1206-SW,1.99,0,999,0.05
BN-STG16VET1206,169,0,0,6
BN-STG16VET1206-108,199,199,3,7
BN-STG16VET1206-120,209,209,4,8
BN-STG16VET1206-84,169,169,1,6
BN-STG16VET1206-96,189,189,2,7
BN-STG16VET1206-CUS,0,0,5,2.4
BN-STG16VET1206-SW,1.99,0,999,0.05
BOCH-120601,29,0,8,5
BOCH-120601-108,39,39,2,6
BOCH-120601-108-GR,39,39,3,0
BOCH-120601-120,44,44,2,6
BOCH-120601-120-GR,44,44,4,0
BOCH-120601-84,29,29,1,5
BOCH-120601-84-GR,29,29,1,0
BOCH-120601-96,34,34,2,5
BOCH-120601-96-GR,34,34,2,0
BOCH-120601-CUS,0,0,5,2
BOCH-120601-GR,29,0,9,5
BOCH-120601-SW,0.99,0,999,0.05
BOCH-131009,29,0,1,5
BOCH-131009-108,39,39,2,6
BOCH-131009-108-GR,39,39,3,0
BOCH-131009-120,44,44,2,6
BOCH-131009-120-GR,44,44,4,0
BOCH-131009-84,29,29,1,5
BOCH-131009-84-GR,29,29,1,0
BOCH-131009-96,34,34,2,5
BOCH-131009-96-GR,34,34,2,0
BOCH-131009-CUS,0,0,5,2
BOCH-131009-GR,29,0,0,5
BOCH-131009-SW,0.99,0,999,0.05
BOCH-174402,29,0,11,5
BOCH-174402-108,39,39,2,6
BOCH-174402-120,44,44,2,6
BOCH-174402-120-GR,44,44,4,0
BOCH-174402-84,29,29,1,5
BOCH-174402-84-GR,29,29,1,0
BOCH-174402-96,34,34,2,5
BOCH-174402-96-GR,34,34,2,0
BOCH-174402-96-GR,39,39,3,0
BOCH-174402-CUS,0,0,5,2
BOCH-174402-GR,29,0,12,5
BOCH-174402-SW,0.99,0,999,0.05
BOCH-190303,29,0,6,5
BOCH-190303-108,39,39,2,6
BOCH-190303-108-GR,39,39,3,0
BOCH-190303-120,44,44,2,6
BOCH-190303-120-GR,44,44,4,0
BOCH-190303-84,29,29,1,5
BOCH-190303-84-GR,29,29,1,0
BOCH-190303-96,34,34,2,5
BOCH-190303-96-GR,34,34,2,0
BOCH-190303-CUS,0,0,5,2
BOCH-190303-GR,29,0,7,5
BOCH-190303-SW,0.99,0,999,0.05
BOCH-191016,29,0,10,5
BOCH-191016-108,39,39,2,6
BOCH-191016-108-GR,39,39,3,0
BOCH-191016-120,44,44,2,6
BOCH-191016-120-GR,44,44,4,0
BOCH-191016-84,29,29,1,5
BOCH-191016-84-GR,29,29,1,0
BOCH-191016-96,34,34,2,5
BOCH-191016-96-GR,34,34,2,0
BOCH-191016-CUS,0,0,5,2
BOCH-191016-GR,29,0,10,5
BOCH-191016-SW,0.99,0,999,0.05
BOCH-193810,29,0,18,5
BOCH-193810-108,39,39,2,6
BOCH-193810-108-GR,39,39,3,0
BOCH-193810-120,44,44,2,6
BOCH-193810-120-GR,44,44,4,0
BOCH-193810-84,29,29,1,5
BOCH-193810-84-GR,29,29,1,0
BOCH-193810-96,34,34,2,5
BOCH-193810-96-GR,34,34,2,0
BOCH-193810-CUS,0,0,5,2
BOCH-193810-GR,29,0,19,5
BOCH-193810-SW,0.99,0,999,0.05
BOCH-201301,29,0,5,5
BOCH-201301-108,39,39,2,6
BOCH-201301-108-GR,39,39,3,0
BOCH-201301-120,44,44,2,6
BOCH-201301-120-GR,44,44,0,0
BOCH-201301-84,29,29,1,5
BOCH-201301-84-GR,29,29,1,0
BOCH-201301-96,34,34,2,5
BOCH-201301-96-GR,34,34,2,0
BOCH-201301-CUS,0,0,5,2
BOCH-201301-GR,29,0,4,5
BOCH-201301-SW,0.99,0,999,0.05
BOCH-201302,29,0,13,5
BOCH-201302-108,39,39,2,6
BOCH-201302-108-GR,39,39,3,0
BOCH-201302-120,44,44,2,6
BOCH-201302-120-GR,44,44,4,0
BOCH-201302-84,29,29,1,5
BOCH-201302-84-GR,29,29,1,0
BOCH-201302-96,34,34,2,5
BOCH-201302-96-GR,34,34,2,0
BOCH-201302-CUS,0,0,5,2
BOCH-201302-GR,29,0,14,5
BOCH-201302-SW,0.99,0,999,0.05
BOCH-201303,29,0,999,5
BOCH-201303-108,39,39,3,6
BOCH-201303-108-GR,39,39,3,6
BOCH-201303-120,44,44,4,6
BOCH-201303-120-GR,44,44,4,6
BOCH-201303-84,29,29,1,5
BOCH-201303-84-GR,29,29,1,5
BOCH-201303-96,34,34,2,5
BOCH-201303-96-GR,34,34,2,5
BOCH-201303-CUS,0,0,5,2
BOCH-201303-GR,29,0,22,5
BOCH-201303-SW,0.99,0,999,0.05
BOCH-201304,29,0,3,5
BOCH-201304-108,39,39,2,6
BOCH-201304-108-GR,39,39,3,0
BOCH-201304-120,44,44,2,6
BOCH-201304-120-GR,44,44,4,0
BOCH-201304-63,29,29,1,5
BOCH-201304-84-GR,29,29,1,0
BOCH-201304-96,34,34,2,5
BOCH-201304-96-GR,34,34,2,0
BOCH-201304-CUS,0,0,5,2
BOCH-201304-GR,29,0,2,5
BOCH-201304-SW,0.99,0,999,0.05
BOCH-201305,29,0,16,5
BOCH-201305-108,39,39,2,6
BOCH-201305-108-GR,39,39,3,0
BOCH-201305-120,44,44,2,6
BOCH-201305-120-GR,44,44,4,0
BOCH-201305-84,29,29,1,5
BOCH-201305-84-GR,29,29,1,0
BOCH-201305-96,34,34,2,5
BOCH-201305-96-GR,34,34,2,0
BOCH-201305-CUS,0,0,5,2
BOCH-201305-GR,29,0,15,5
BOCH-201305-SW,0.99,0,999,0.05
BOCH-KC1,49.99,0,5,5
BOCH-KC1-108,59.99,59.99,2,6
BOCH-KC1-120,64.99,64.99,2,6
BOCH-KC1-84,49.99,49.99,1,5
BOCH-KC1-96,54.99,54.99,2,5
BOCH-KC1-CUS,0,0,5,2
BOCH-KC1-SW,0.99,0,999,0.05
BOCH-KC20,54.99,0,14,5
BOCH-KC20-108,64.99,64.99,2,6
BOCH-KC20-120,69.99,69.99,2,6
BOCH-KC20-84,54.99,54.99,1,5
BOCH-KC20-96,59.99,59.99,2,5
BOCH-KC20-CUS,0,0,5,2
BOCH-KC20-SW,0.99,0,999,0.05
BOCH-KC21,54.99,0,0,5
BOCH-KC21-108,64.99,64.99,2,6
BOCH-KC21-120,69.99,69.99,2,6
BOCH-KC21-84,54.99,54.99,1,5
BOCH-KC21-96,59.99,59.99,2,5
BOCH-KC21-CUS,0,0,5,2
BOCH-KC21-SW,0.99,0,999,0.05
BOCH-KC22,54.99,0,17,5
BOCH-KC22-108,64.99,64.99,2,6
BOCH-KC22-120,69.99,69.99,2,6
BOCH-KC22-84,54.99,54.99,1,5
BOCH-KC22-96,59.99,59.99,2,5
BOCH-KC22-CUS,0,0,5,2
BOCH-KC22-SW,0.99,0,999,0.05
BOCH-KC23,54.99,0,13,5
BOCH-KC23-108,64.99,64.99,2,6
BOCH-KC23-120,69.99,69.99,2,6
BOCH-KC23-84,54.99,54.99,1,5
BOCH-KC23-96,59.99,59.99,2,5
BOCH-KC23-CUS,0,0,5,2
BOCH-KC23-SW,0.99,0,999,0.05
BOCH-KC24,54.99,0,1,5
BOCH-KC24-108,64.99,64.99,2,6
BOCH-KC24-120,69.99,69.99,2,6
BOCH-KC24-84,54.99,54.99,1,5
BOCH-KC24-96,59.99,59.99,2,5
BOCH-KC24-CUS,0,0,5,2
BOCH-KC24-SW,0.99,0,999,0.05
BOCH-KC25,54.99,0,10,5
BOCH-KC25-108,64.99,64.99,2,6
BOCH-KC25-120,69.99,69.99,2,6
BOCH-KC25-84,54.99,54.99,1,5
BOCH-KC25-96,59.99,59.99,2,5
BOCH-KC25-CUS,0,0,5,2
BOCH-KC25-SW,0.99,0,999,0.05
BOCH-KC26,54.99,0,9,5
BOCH-KC26-108,64.99,64.99,2,6
BOCH-KC26-120,69.99,69.99,2,6
BOCH-KC26-84,54.99,54.99,1,5
BOCH-KC26-96,59.99,59.99,2,5
BOCH-KC26-CUS,0,0,5,2
BOCH-KC26-SW,0.99,0,999,0.05
BOCH-KC27,54.99,0,12,5
BOCH-KC27-108,64.99,64.99,2,6
BOCH-KC27-120,69.99,69.99,2,6
BOCH-KC27-84,54.99,54.99,1,5
BOCH-KC27-96,59.99,59.99,2,5
BOCH-KC27-CUS,0,0,5,2
BOCH-KC27-SW,0.99,0,999,0.05
BOCH-KC28,54.99,0,19,5
BOCH-KC28-108,64.99,64.99,2,6
BOCH-KC28-120,69.99,69.99,2,6
BOCH-KC28-84,54.99,54.99,1,5
BOCH-KC28-96,59.99,59.99,2,5
BOCH-KC28-CUS,0,0,5,2
BOCH-KC28-SW,0.99,0,999,0.05
BOCH-KC29,54.99,0,18,5
BOCH-KC29-108,64.99,64.99,2,6
BOCH-KC29-120,69.99,69.99,2,6
BOCH-KC29-84,54.99,54.99,1,5
BOCH-KC29-96,59.99,59.99,2,5
BOCH-KC29-CUS,0,0,5,2
BOCH-KC29-SW,0.99,0,999,0.05
BOCH-KC30,54.99,0,8,5
BOCH-KC30-108,64.99,64.99,2,6
BOCH-KC30-120,69.99,69.99,2,6
BOCH-KC30-84,54.99,54.99,1,5
BOCH-KC30-96,59.99,59.99,2,5
BOCH-KC30-CUS,0,0,5,2
BOCH-KC30-SW,0.99,0,999,0.05
BOCH-KC31,54.99,0,7,5
BOCH-KC31-108,64.99,64.99,2,6
BOCH-KC31-120,69.99,69.99,2,6
BOCH-KC31-84,54.99,54.99,1,5
BOCH-KC31-96,59.99,59.99,2,5
BOCH-KC31-CUS,0,0,5,2
BOCH-KC31-SW,0.99,0,999,0.05
BOCH-KC32,54.99,0,15,5
BOCH-KC32-108,64.99,64.99,2,6
BOCH-KC32-120,69.99,69.99,2,6
BOCH-KC32-84,54.99,54.99,1,5
BOCH-KC32-96,59.99,59.99,2,5
BOCH-KC32-CUS,0,0,5,2
BOCH-KC32-SW,0.99,0,999,0.05
BOCH-KC33,49.99,0,6,5
BOCH-KC33-108,59.99,59.99,2,6
BOCH-KC33-120,64.99,64.99,2,6
BOCH-KC33-84,49.99,49.99,1,5
BOCH-KC33-96,54.99,54.99,2,5
BOCH-KC33-CUS,0,0,5,2
BOCH-KC33-SW,0.99,0,999,0.05
BOCH-KC34C,49.99,0,0,5
BOCH-KC34C-108,59.99,59.99,3,6
BOCH-KC34C-120,64.99,64.99,4,6
BOCH-KC34C-84,49.99,49.99,1,5
BOCH-KC34C-96,54.99,54.99,2,5
BOCH-KC34C-CUS,0,0,5,2
BOCH-KC34C-SW,0.99,0,999,0.05
BOCH-KC35,54.99,0,11,5
BOCH-KC35-108,64.99,64.99,2,6
BOCH-KC35-120,69.99,69.99,2,6
BOCH-KC35-84,54.99,54.99,1,5
BOCH-KC35-96,59.99,59.99,2,5
BOCH-KC35-CUS,0,0,5,2
BOCH-KC35-SW,0.99,0,999,0.05
BOCH-KC36,54.99,0,2,5
BOCH-KC36-108,64.99,64.99,2,6
BOCH-KC36-120,69.99,69.99,2,6
BOCH-KC36-84,54.99,54.99,1,5
BOCH-KC36-96,59.99,59.99,2,5
BOCH-KC36-CUS,0,0,5,2
