SKU,UPC,Discontinue
EFSCH-Alexandria-Merlot,,No
PTCH-JTSP130907,,No
Test SKu,,No
PTSCH-11100,797734451863,No
PTCH-JTSP003,,No
PDCH-KBS10,,No
PTCH-JTSP100,,Yes
PTCH-JTSP102,,No
PDCH-KBS17,,Yes
PDCH-KBS18,,No
PDCH-KBS2,,No
DS-EFCH14-1,13,Yes
DS-TLT17,,No
DS-EMBS201324,,Yes
DS-EMBS201323,,No
DS-EMBS20137,,No
EFSCH-AL450C4,799418014401,No
EFSCH-AL450C4-SW,799418014449,No
EFSCH-AL450C2,799418014470,No
EFSCH-AL450C3,799418014548,No
PTSCH-11091,610395223467,No
PTSCH-11091-SW,799665815738,No
JQCH-201301,799665822835,No
JQCH-201301-SW,799665822897,No
JQCH-201301-FP,799665816377,No
JQCH-201263,610395226932,No
JQCH-201263-SW,799665816018,No
JQCH-201263-FP,610395232773,No
JQCH-201268,610395227014,No
JQCH-201268-SW,799665816056,No
JQCH-201268-FP,610395232858,Yes
JQCH-201266,610395226970,No
JQCH-201266-SW,799665816032,Yes
JQCH-201266-FP,610395232810,No
DS-EMBS20134,799665821074,No
DS-EMBS20134-SW,799665821135,Yes
BN-SBN11VET1206-SW,799665811570,No
BN-SCY22VET1206-SW,799665811617,Yes
BN-SMR04VET1206-SW,799665811631,No
BN-SMB19VET1206-SW,799665811655,No
BN-SPW28VET1206-SW,799665811532,Yes
BN-SG17VET1206-SW,799665811556,No
BN-STG16VET1206-SW,799665811594,No
DS-EMBS201316,799665822033,No
DS-EMBS201316-SW,799665822095,No
DS-TF514,799665818333,No
DS-TF514-SW,799665816803,No
DS-TF940,799665818272,No
DS-TF940-SW,799665816865,No
DS-SDG6,799665818456,No
DS-SDG6-SW,799665816742,Yes
PTSCH-13403,799665833688,No
PTSCH-13403-SW,799665833749,No
DS-TFSN30,799665818098,No
DS-TFSN30-SW,799665816940,No
PTSCH-13404,799665833763,No
PTSCH-13404-SW,799665833824,No
DIS-ID15,797734449730,No
DIS-ID15-SW,797734449129,No
DIS-ID224,797734449778,No
DIS-ID224-SW,799665810931,No
DS-MSTK1,799418019215,No
DS-MSTK1-SW,799418019253,Yes
SS-SBR13,799665819668,No
SS-SBR13-SW,799665811150,No
DS-EMBS20138,799665821395,No
DS-EMBS20138-SW,799665821456,Yes
