SKU,,Discontinue
EFSCH-Alexandria-Merlot,,No
PTCH-JTSP130907,,No
Test SKu,,No
PTSCH-11100,,No
PTCH-JTSP003,,No
PDCH-KBS10,,No
PTCH-JTSP100,,No
PTCH-JTSP102,,No
PDCH-KBS17,,Yes
PDCH-KBS18,,No
PDCH-KBS2,,No
DS-EFCH14-1,,Yes
DS-TLT17,,No
DS-EMBS201324,,Yes
DS-EMBS201323,,No
DS-EMBS20137,,No
EFSCH-AL450C4,,No
EFSCH-AL450C4-SW,,No
EFSCH-AL450C2,,No
EFSCH-AL450C3,,No
PTSCH-11091,,No
PTSCH-11091-SW,,No
JQCH-201301,,No
JQCH-201301-SW,,No
JQCH-201301-FP,,No
JQCH-201263,,No
JQCH-201263-SW,,No
JQCH-201263-FP,,No
JQCH-201268,,No
JQCH-201268-SW,,No
JQCH-201268-FP,,Yes
JQCH-201266,,No
JQCH-201266-SW,,Yes
JQCH-201266-FP,,No
DS-EMBS20134,,No
DS-EMBS20134-SW,,Yes
BN-SBN11VET1206-SW,,No
BN-SCY22VET1206-SW,,Yes
BN-SMR04VET1206-SW,,No
BN-SMB19VET1206-SW,,No
BN-SPW28VET1206-SW,,Yes
BN-SG17VET1206-SW,,No
BN-STG16VET1206-SW,,No
DS-EMBS201316,,No
DS-EMBS201316-SW,,No
DS-TF514,,No
DS-TF514-SW,,No
DS-TF940,,No
DS-TF940-SW,,No
DS-SDG6,,No
DS-SDG6-SW,,Yes
PTSCH-13403,,No
PTSCH-13403-SW,,No
DS-TFSN30,,No
DS-TFSN30-SW,,No
PTSCH-13404,,No
PTSCH-13404-SW,,No
DIS-ID15,,No
DIS-ID15-SW,,No
DIS-ID224,,No
DIS-ID224-SW,,No
DS-MSTK1,,No
DS-MSTK1-SW,,Yes
SS-SBR13,,No
SS-SBR13-SW,,No
DS-EMBS20138,,No
DS-EMBS20138-SW,,Yes
DS-EMBS201320,,No
DS-EMBS201320-SW,,No
VCCH-VET1201,,No
SS-SBN11,,No
SS-SBN11-SW,,No
PTSCH-42012,,No
PTSCH-42012-SW,,No
SSRW-LF954,,No
SSRW-LF954-SW,,No
DS-DST2,,Yes
DS-DST2-SW,,No
DS-DST4,,No
DS-DST4-SW,,No
SSRW-LF935,,No
SSRW-LF935-SW,,No
BOCH-PL1604,,No
