SKU,UPC,Inventory On Hand, Livermore,Atlanta,Safety Lock Qty,Avilable For Channel Sales,Avilable For HPD Website,Hemming Allowed
BOCH-PL1604,,167,,,0,0,0,N
BOCH-PL1604-84,799665829292,26,0,26,10,1,26,N
BOCH-PL1604-96,799665829308,95,0,95,10,85,95,N
BOCH-PL1604-108,799665829322,0,0,0,10,0,0,N
BOCH-PL1604-120,799665829315,46,0,46,10,39,46,N
BOCH-PL1604-CUS,799665829339,0,0,0,10,0,0,N
BOCH-PL1602,,99,,,0,0,0,N
BOCH-PL1602-84,799665829216,30,0,30,0,30,30,N
BOCH-PL1602-96,799665829223,115,0,115,0,115,115,N
BOCH-PL1602-108,799665829247,154,0,154,0,154,154,N
BOCH-PL1602-120,799665829230,82,0,82,0,82,82,N
BOCH-PL1602-CUS,799665829254,0,0,0,0,0,0,N
BOCH-201303,,99,,,0,0,0,Y
BOCH-201303-84,799665815004,0,0,0,5,276,276,N
BOCH-201303-96,799665815011,48,0,48,5,281,281,N
BOCH-201303-108,799665815028,184,0,184,5,238,238,N
BOCH-201303-120,799665815035,64,0,64,5,59,59,N
BOCH-201303-CUS,799665833992,0,0,0,0,0,0,N
BOCH-201303-GR,,99,,,0,0,0,Y
BOCH-201303-84-GR,799665815042,21,0,21,0,346,346,N
BOCH-201303-96-GR,799665815059,93,0,93,0,325,325,N
BOCH-201303-108-GR,799665815066,160,0,160,0,232,232,N
BOCH-201303-120-GR,799665815073,72,0,72,0,72,72,N
BOCH-PL1606,,368,,,0,0,0,N
BOCH-PL1606-84,799665829452,68,0,68,0,68,68,N
BOCH-PL1606-96,799665829469,139,0,139,0,139,139,N
BOCH-PL1606-108,799665829483,117,0,117,0,117,117,N
BOCH-PL1606-120,799665829476,44,0,44,0,44,44,N
BOCH-PL1606-CUS,799665829490,0,0,0,0,0,0,N
BOCH-PL1607,,347,,,0,0,0,N
BOCH-PL1607-84,799665829537,52,0,52,0,52,52,N
BOCH-PL1607-96,799665829544,127,0,127,0,127,127,N
BOCH-PL1607-108,799665829568,136,0,136,0,136,136,N
BOCH-PL1607-120,799665829551,32,0,32,0,32,32,N
BOCH-PL1607-CUS,799665829575,0,0,0,0,0,0,N
BOCH-PL1610,,22,,,0,0,0,N
BOCH-PL1610-84,799665829773,22,0,22,0,22,22,N
BOCH-PL1610-96,799665829780,0,0,0,0,0,0,N
BOCH-PL1610-108,799665829803,0,0,0,0,0,0,N
BOCH-PL1610-120,799665829797,0,0,0,0,0,0,N
BOCH-PL1610-CUS,799665829810,0,0,0,0,0,0,N
BOCH-PL1606-SW,799665829513,0,160,0,0,0,0,N
BOCH-KC7-8433-83,,0,,,0,0,0,N
PTSCH-11093-63,,0,0,0,0,0,0,N
BOCH-PL1601-SW,799665829193,0,123,0,0,0,0,N
BOCH-201301-GR,,0,,,0,0,0,N
BOCH-201301-120-GR,799665814915,204,0,204,0,204,204,N
BOCH-201301-84-GR,799665814885,156,0,156,0,156,156,N
BOCH-201301-96-GR,799665814892,379,0,379,0,379,379,N
BOCH-201301-108-GR,799665814908,381,0,381,0,381,381,N
BOCH-190303,,948,,,0,0,0,N
BOCH-190303-84,797734455397,352,0,352,0,352,352,N
BOCH-190303-96,797734455403,285,28,257,0,285,285,N
BOCH-190303-108,797734455373,161,0,161,0,161,161,N
BOCH-190303-120,797734455380,150,0,150,0,150,150,N
BOCH-190303-CUS,799665833930,0,0,0,0,0,0,N
BOCH-201304-GR,,808,,,0,0,0,N
BOCH-201304-84-GR,799665815127,42,0,42,0,42,42,N
BOCH-201304-96-GR,799665815134,291,0,291,0,291,291,N
BOCH-201304-108-GR,799665815141,300,0,300,0,300,300,N
BOCH-201304-120-GR,799665815158,175,0,175,0,175,175,N
BOCH-120601,,889,,,0,0,0,N
BOCH-120601-84,797734455274,170,0,170,0,170,170,N
BOCH-120601-96,797734455281,358,44,314,0,358,358,N
BOCH-120601-108,797734455250,199,0,199,0,199,199,N
BOCH-120601-120,797734455267,162,0,162,0,162,162,N
BOCH-120601-CUS,799665833831,0,0,0,0,0,0,N
BOCH-191016-GR,,829,,,0,0,0,N
BOCH-191016-84-GR,797734456745,131,0,131,0,131,131,N
BOCH-191016-96-GR,797734456752,167,0,167,0,167,167,N
BOCH-191016-108-GR,797734456769,385,28,357,0,385,385,N
BOCH-191016-120-GR,797734456776,146,0,146,0,146,146,N
BOCH-174402,,325,,,0,0,0,N
BOCH-174402-84,797734456424,38,0,38,0,38,38,N
BOCH-174402-96,797734456431,108,0,108,0,108,108,N
BOCH-174402-108,797734456448,93,0,93,0,93,93,N
BOCH-174402-120,797734456455,86,0,86,0,86,86,N
BOCH-174402-CUS,799665833879,0,0,0,0,0,0,N
BOCH-201305-GR,,680,,,0,0,0,N
BOCH-201305-84-GR,799665815202,90,0,90,0,90,90,N
BOCH-201305-96-GR,799665815219,223,0,223,0,223,223,N
BOCH-201305-108-GR,799665815226,247,0,247,0,247,247,N
BOCH-201305-120-GR,799665815233,120,0,120,0,120,120,N
BOCH-201301-SW,799665831400,156,156,0,0,156,156,N
BOCH-193810-SW,799665831288,287,287,0,0,287,287,N
BOCH-174402-SW,799665831257,214,214,0,0,214,214,N
BOCH-KC5,,379,,,0,0,0,N
BOCH-KC5-84,610395225690,0,0,0,0,0,0,N
BOCH-KC5-96,610395225706,88,88,0,0,88,88,N
BOCH-KC5-108,610395225713,202,202,0,0,202,202,N
BOCH-KC5-120,610395225720,89,89,0,0,89,89,N
BOCH-KC5-CUS,799665828219,0,0,0,0,0,0,N
BOCH-KC28,,243,,,0,0,0,N
BOCH-KC28-84,799665825690,0,0,0,0,0,0,N
BOCH-KC28-96,799665825706,75,0,75,0,75,75,N
BOCH-KC28-108,799665825720,97,0,97,0,97,97,N
BOCH-KC28-120,799665825713,71,0,71,0,71,71,N
BOCH-KC28-CUS,799665825737,0,0,0,0,0,0,N
BOCH-KC29,,397,,,0,0,0,N
BOCH-KC29-84,799665825775,34,0,34,0,34,34,N
BOCH-KC29-96,799665825782,111,0,111,0,111,111,N
BOCH-KC29-108,799665825805,170,0,170,0,170,170,N
BOCH-KC29-120,799665825799,82,0,82,0,82,82,N
BOCH-KC29-CUS,799665825812,0,0,0,0,0,0,N
BOCH-KC22,,268,,,0,0,0,N
BOCH-KC22-84,799665825218,0,0,0,0,0,0,N
BOCH-KC22-96,799665825225,76,0,76,0,76,76,N
BOCH-KC22-108,799665825249,139,0,139,0,139,139,N
BOCH-KC22-120,799665825232,53,0,53,0,53,53,N
BOCH-KC22-CUS,799665825256,0,0,0,0,0,0,N
BOCH-KC21,,0,,,0,0,0,N
BOCH-KC21-84,799665825133,90,0,90,0,90,90,N
BOCH-KC21-96,799665825140,279,0,279,0,279,279,N
BOCH-KC21-108,799665825164,333,0,333,0,333,333,N
BOCH-KC21-120,799665825157,169,0,169,0,169,169,N
BOCH-KC21-CUS,799665825171,0,0,0,0,0,0,N
BOCH-KC91B,,656,,,0,0,0,N
BOCH-KC91B-84,610395225973,151,151,0,0,151,151,N
BOCH-KC91B-96,610395225980,155,155,0,0,155,155,N
BOCH-KC91B-108,610395225997,231,231,0,0,231,231,N
BOCH-KC91B-120,610395226000,119,119,0,0,119,119,N
BOCH-KC91B-CUS,799665828370,0,0,0,0,0,0,N
BOCH-KC32,,330,,,0,0,0,N
BOCH-KC32-84,799665826017,0,0,0,0,0,0,N
BOCH-KC32-96,799665826024,95,0,95,0,95,95,N
BOCH-KC32-108,799665826048,163,0,163,0,163,163,N
BOCH-KC32-120,799665826031,72,0,72,0,72,72,N
BOCH-KC32-CUS,799665826055,0,0,0,0,0,0,N
BOCH-KC20,,244,,,0,0,0,N
BOCH-KC20-84,799665825058,0,0,0,0,0,0,N
BOCH-KC20-96,799665825065,55,0,55,0,55,55,N
BOCH-KC20-108,799665825089,108,0,108,0,108,108,N
BOCH-KC20-120,799665825072,81,0,81,0,81,81,N
BOCH-KC20-CUS,799665825096,0,0,0,0,0,0,N
BOCH-KC23,,0,,,0,0,0,N
BOCH-KC23-84,799665825294,0,0,0,0,0,0,N
BOCH-KC23-96,799665825300,0,0,0,0,0,0,N
BOCH-KC23-108,799665825324,0,0,0,0,0,0,N
BOCH-KC23-120,799665825317,0,0,0,0,0,0,N
BOCH-KC23-CUS,799665825331,0,0,0,0,0,0,N
