SKU,NAME,PO#1,Quantity Ordered1,Shipping Date1,ETA ATL1,PO#2,Quantity Ordered2,Shipping Date2,ETA ATL2,PO#3,Quantity Ordered3,Shipping Date3,ETA ATL3,PO#4,Quantity Ordered4,Shipping Date4,ETA ATL4
70001,,,,,,,,,,,,,,,,,
CONTINUOUS LOOP CORD,Continuous Loop Cord Mechanism,,,,,,,,,,,,,,,,
HOOKS,Hooks for Drapes,,,,,,,,,,,,,,,,
TEST  BEDDING,,,,,,,,,,,,,,,,,
RR00- MISC,Rollar Shade,,,,,,,,,,,,,,,,
PTFFLK-C23B-SW,Filigree Pearl Flocked Faux Silk Swatch,,,,,,,,,,,,,,,,
JTCT-DS01-84,Chick Pea Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS02-84,Wild Mushroom Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS03-84,Sprouted Wheat Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS04-84,Blue Berry Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS05-84,Sesame Seed Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS06-84,Elder Berry Vine Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS07-84,Zebra Pie Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS01-96,Chick Pea Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS02-96,Wild Mushroom Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS03-96,Sprouted Wheat Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS04-96,Blue Berry Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS05-96,Sesame Seed Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS06-96,Elder Berry Vine Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS07-96,Zebra Pie Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS01-108,Chick Pea Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS02-108,Wild Mushroom Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS03-108,Sprouted Wheat Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS04-108,Blue Berry Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS05-108,Sesame Seed Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS06-108,Elder Berry Vine Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS07-108,Zebra Pie Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS01-120,Chick Pea Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS02-120,Wild Mushroom Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS03-120,Sprouted Wheat Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS04-120,Blue Berry Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS05-120,Sesame Seed Solid Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS06-120,Elder Berry Vine Printed Jute Curtain,,,,,,,,,,,,,,,,
JTCT-DS07-120,Zebra Pie Printed Jute Curtain,,,,,,,,,,,,,,,,
BN-P005B12010-84,Banded Graphite Faux Silk Taffeta & Black,,,,,,,,,,,,,,,,
BN-P005B12010-96,Banded Graphite Faux Silk Taffeta & Black,,,,,,,,,,,,,,,,
BN-P005B12010-108,Banded Graphite Faux Silk Taffeta & Black,,,,,,,,,,,,,,,,
BN-P005BMB66-84,Banded Graphite Faux Silk Taffeta & Morrocan Blue,,,,,,,,,,,,,,,,
BN-P005BMB66-96,Banded Graphite Faux Silk Taffeta & Morrocan Blue,,,,,,,,,,,,,,,,
BN-P005BMB66-108,Banded Graphite Faux Silk Taffeta & Morrocan Blue,,,,,,,,,,,,,,,,
BN-P1066BMR56-84,Banded Syrah Faux Silk Taffeta & Maroon,,,,,,,,,,,,,,,,
BN-P1066BMR56-96,Banded Syrah Faux Silk Taffeta & Maroon,,,,,,,,,,,,,,,,
